accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms,Collections
"phs003090.v1.p1","Advancing Precision Oncology in a Humanized, Fully Autologous Mouse Model","Progress in the early detection and treatment of cancer requires accurate model systems to further evaluate new, promising discoveries. Small animal and, in particular, mouse model systems are attractive to  researchers for numerous reasons, including their ease of use and well-described platforms. The ability to grow human tumors in immune-deficient mice","Not Applicable","Melanoma","Xenograft","Not Provided","RNA-Seq, WXS","4 phenotype datasets, 17 variables, 40 samples sequenced, 4 subjects, 40 samples","","NCI","GRU --- General Research Use","2023-02-14","2023-02-14","Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant; Melanomas",""
"phs003094.v1.p1","Urothelial Cancer - Genomic Analysis to Improve Patient Outcomes and    Research (UC-GENOME): a Bladder Cancer Advocacy Network (BCAN)-Led    Collaborative Research Pilot Study - for Samples Collected at Johns    Hopkins","UC-GENOME is a real-world cohort of patients with metastatic urothelial carcinoma (UC). The study consisted of two co-equal aims: 1) to provide targeted DNA sequencing for clinical decision making at  no cost to patients; and 2) to create a resource for collaborative translational science including a clinically annotated biobank. The submitted data","Not Applicable","Urinary Bladder Neoplasms","Prospective Longitudinal Cohort","Not Provided","RNA-Seq, Targeted-Capture","4 phenotype datasets, 13 variables, 14 samples sequenced, 8 subjects, 14 samples","","NCI","DS-TCC-IRB-NPU --- Disease-Specific (transitional cell carcinoma, IRB, NPU)","2023-02-09","2023-02-09","Bladder Cancer; Cancer of Urinary Tract; Bladder Cancers; Cancer of Bladder; Cancer of the Bladder; Cancer, Bladder",""
"phs003059.v1.p1","Metastatic Colorectal Adenocarcinoma Tumor Purity Assessment from Whole    Exome Sequencing Data","As molecular medicine wields greater and greater influence on cancer patient care, including therapeutic selection, it becomes increasingly important to understand the power and deficiencies of computational tools used in  decision making processes. Here we use a set of unselected metastatic colorectal tumor samples in a head-to-head comparison between the calculation","Not Applicable","Colorectal Neoplasms","Case Set","Not Provided","WXS","3 phenotype datasets, 11 variables, 30 samples sequenced, 18 subjects, 30 samples","","NCI","GRU --- General Research Use","2023-02-08","2023-02-08","Neoplasm Metastases; CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1)"
"phs001904.v1.p1","Genomic Characterization CS-MATCH-0007 Arm Y","The CS-MATCH-0007 protocol is a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA sequencing using  pre-and post-treatment tumor biopsy specimens from all patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131). The goal of","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 380 variables,  SRA, 31 subjects, 31 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-02-07","2023-02-07","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs003154.v1.p1","An Advanced Molecular Medicine Case Report of a Rare Human Tumor Using    Genomics, Pathomics, and Radiomics","The associated data of this study is derived from a single female patient with pulmonary sclerosing pneumocytoma (PSP). The aim of this study is to provide the most comprehensive, multi-modality  sequencing study of a single case of PSP to-date. To this end, the following sequencing experiments were performed: i) RNA-Seq of the primary tumor","Not Applicable","Pulmonary Sclerosing Hemangioma","Case-Control","Not Provided","RNA-Seq, Targeted-Capture, WGS","3 phenotype datasets, 15 variables, 16 samples sequenced, 1 subjects, 16 samples","","NCI","GRU-PUB --- General Research Use (PUB)","2023-02-06","2023-02-06","Hemangioma, Sclerosing, Pulmonary; Lung Sclerosing Angioma; Lung Sclerosing Hemangioma; Lung Sclerosing Hemangiomas; Pneumocytoma; Pulmonary Sclerosing Hemangiomas",""
"phs003042.v1.p1","Novel Strategies to Eliminate Resistance to B-cell Receptor Inhibitor    Therapy in Lymphoid Malignancies","Ibrutinib and acalabrutinib are BTK inhibitors (BTKi) used as frontline therapies for chronic lymphocytic leukemia (CLL). Clonal evolution during ibrutinib treatment has previously been studied, but limited study of clonal  evolution in patients receiving acalabrutinib has been done. Our group analyzed 216 blood samples from 38 CLL patients at multiple time points during","Not Applicable","Clonal Evolution","Case Set","Not Provided","WXS","4 phenotype datasets, 25 variables, 216 samples sequenced, 38 subjects, 216 samples","","NCI","GRU --- General Research Use","2023-02-06","2023-02-06","Evolution, Clonal; B Cell CLL; B Cell Chronic Lymphocytic Leukemia; B Cell Leukemia, Chronic; B Cell Lymphocytic Leukemia; B Cell Malignancy, Low Grade","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1)"
"phs002822.v1.p1","SU2C-MARK Lung Cancer Consortium - Checkpoint Blockade Response Project","Immune checkpoint inhibitors have become a critical part of the armamentarium against advanced Non-Small Cell Lung Cancer (NSCLC). While early studies have identified Tumor Mutation Burden (TMB) and PD-L1 staining  as important biomarkers of response, they remain imperfect predictors. Here we describe a multi-institutional effort as part of the SU2C-MARK Lung","Not Applicable","Carcinoma, Non-Small-Cell Lung","Collection","WES_markerset_grc38","MAF (NGS), Targeted-Capture","4 phenotype datasets, 46 variables, 1 molecular datasets, 463 samples sequenced, 230 subjects, 463 samples","","NCI","DS-CATHLU-MDS --- Disease-Specific (Cancer -Thoracic and Lung, MDS), HMB-MDS --- Health/Medical/Biomedical (MDS), GRU --- General Research Use","2023-02-02","2023-02-02","Adenocarcinoma; Large Cell Carcinoma; ADNOS; Adenocarcinomas; Adenoma, Malignant; Adenomas, Malignant",""
"phs003100.v1.p1","Whole-Genome Sequencing Analysis of Extrachromosomal DNA with Amplicon    Architect","The study is related to our manuscript entitled ""Single-cell genetic heterogeneity linked to immune infiltration in glioblastoma"". Using multiplexed FISH analysis of 3-4 tumor cores from 17 glioblastoma formalin-fixed paraffin-embedded  (FFPE) tumors, we identified two classes of tumors based on single cell co-occurrence of EGFR and CDK4 amplification. Tumors with a low odds ratio","Not Applicable","Glioblastoma","Case Set","Not Provided","WGS","4 phenotype datasets, 27 variables, 6 samples sequenced, 6 subjects, 6 samples","","NCI","GRU --- General Research Use","2023-01-31","2023-01-31","Astrocytoma, Grade IV; Astrocytomas, Grade IV; GBM; GBM (glioblastoma); Giant cell glioblastoma (histologic variant); Glioblastoma multiforme",""
"phs003085.v1.p1","RNA-Sequencing of B-Lymphoblastic Leukemia with Glucocorticoids and PI3K    Delta Inhibition","Mononuclear cells were isolated from bone marrow or peripheral blood of 7 pediatric subjects with B-lymphoblastic leukemia at the time of diagnosis. To determine the effect of PI3K delta inhibition  on glucocorticoid-induced gene regulation, B-lymphoblastic leukemia cells were treated with glucocorticoids +/- the PI3K delta inhibitor, idelalisib,","Not Applicable","Precursor B-Cell Lymphoblastic Leukemia-Lymphoma","Case Set","RNAseq_gene_transcripts","RNA-Seq, RNA Seq (NGS)","4 phenotype datasets, 20 variables, 1 molecular datasets, 65 samples sequenced, 7 subjects, 65 samples","","NCI","GRU --- General Research Use","2023-01-31","2023-01-31","Leukemia, Pre B Cell; Leukemia, Pre-B-Cell; Leukemias, Pre-B-Cell; Pre B ALL; Pre B Cell Leukemia; Pre B-ALL",""
"phs003159.v1.p1","Targeted Long-Read Sequencing of the Ewing Sarcoma 6p25.1 Susceptibility    Locus","Ewing Sarcoma (EwS) is rare but the second most common cancer in children, adolescents and young adults. Recent studies suggest germline variation in or around GGAA microsatellites may interact with  fusion oncoprotein binding causing changes in binding affinity and potentially impacting enhancer activity on nearby target genes. This study aims to","Not Applicable","Sarcoma, Ewing","Case-Control","Not Provided","AMPLICON","4 phenotype datasets, 13 variables, 462 samples sequenced, 231 subjects, 462 samples","","NCI","DS-ES --- Disease-Specific (Ewing's Sarcoma)","2023-01-27","2023-01-27","ES; Ewing Sarcoma; Ewing Tumor; Ewing tumour; Ewing's Sarcoma; Ewing's Tumor",""
"phs001134.v2.p1","Radiation-Related Genomic Profile of Papillary Thyroid Cancer after the    Chernobyl Accident","The April 26, 1986 accident at the Chernobyl nuclear power plant in northern Ukraine resulted in the release of radioactive contaminants, which were deposited in the surrounding areas in Ukraine,  Belarus, and Russia. The main radiation-related health effect resulting from these exposures is the increased occurrence of thyroid cancer among","Not Applicable","Thyroid Cancer, Papillary","Case Set","HumanOmniExpress-24, HumanOmniExpress-24, HumanOmniExpress-24, HumanOmniExpress-24, HumanOmniExpress-24, HumanOmniExpress-24, MethylationEPIC","SNP Genotypes (Array)","5 phenotype datasets, 23 variables, 2 molecular datasets, 440 subjects, 4615 samples","","NCI","GRU --- General Research Use","2023-01-24","2021-08-03","Neoplasms, Radiation-Induced; Neoplasm, Radiation-Induced; Neoplasms, Radiation Induced; Radiation Induced Neoplasm; Radiation Induced Neoplasms; Radiation-Induced Neoplasm","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1); NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs003097.v1.p1","Multi-Modal Single-Cell and Whole-Genome Sequencing of Small, Frozen    Clinical Specimens","Clinical application of single-cell sequencing technologies has been hampered by their need for quick processing of relatively large, fresh specimens. Here, we benchmarked the performance of a new technique for  single-cell sequencing from snap-frozen clinical samples, vs. sequencing from fresh samples, on 5 samples from cutaneous melanoma brain metastasis, 6","Not Applicable","Neoplasm Metastasis","Collection","Not Provided","OTHER, WGS, WXS","4 phenotype datasets, 18 variables, 94 samples sequenced, 41 subjects, 94 samples","","NCI","GRU --- General Research Use","2023-01-18","2023-01-18","Carcinoma, Non Small Cell Lung; Carcinoma, Non-Small Cell Lung; Carcinoma, Non-Small-Cell Lung; Carcinomas, Non-Small-Cell Lung; Lung Carcinoma, Non-Small-Cell; Lung Carcinomas, Non-Small-Cell",""
"phs003066.v1.p1","Urothelial Cancer - Genomic Analysis to Improve Patient Outcomes and    Research (UC-GENOME): A Bladder Cancer Advocacy Network (BCAN)-Led    Collaborative Research Pilot Study","UC-GENOME is a real-world cohort of patients with metastatic urothelial carcinoma (UC). The study consisted of two co-equal aims: 1) to provide targeted DNA sequencing for clinical decision making at  no cost to patients; and 2) to create a resource for collaborative translational science including a clinically annotated biobank. The submitted data","Not Applicable","Urinary Bladder Neoplasms","Prospective Longitudinal Cohort","Not Provided","RNA-Seq, Targeted-Capture","4 phenotype datasets, 13 variables, 353 samples sequenced, 194 subjects, 353 samples","","NCI","DS-UC --- Disease-Specific (Urinary Conditions)","2023-01-12","2023-01-12","Bladder Cancer; Cancer of the Urinary Tract; Bladder Cancers; Cancer of Bladder; Cancer of the Bladder; Cancer, Bladder",""
"phs001926.v1.p1","Genomic Characterization CS-MATCH-0007 Arm Q","The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).","Not Applicable","Neoplasms","Clinical Trial","Not Provided","Not Provided","3 phenotype datasets, 312 variables,  SRA, 35 subjects, 35 samples","","NCI","GRU-COL --- General Research Use (COL)","2023-01-10","2023-01-10","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002622.v1.p1","Aurora US Metastatic Breast Cancer Retrospective Project","The AURORA US Metastatic Breast Cancer project is funded by the Breast Cancer Research Foundation (BCRF) Evelyn H. Lauder Founder's Fund for Metastatic Breast Cancer Research. This multi-center effort conducted  within the Translational Breast Cancer Research Consortium (TBCRC) and cancer researchers to better understand the metastatic process through the","Not Applicable","Breast Neoplasms","Case Set","MethylationEPIC","Methylation (CpG), RNA-Seq, WGS, WXS","5 phenotype datasets, 17 variables, 1 molecular datasets, 325 samples sequenced, 55 subjects, 477 samples","","NCI","GRU --- General Research Use, HMB --- Health/Medical/Biomedical, DS-BRCA --- Disease-Specific (Breast Cancer)","2023-01-06","2023-01-06","Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer",""
"phs003084.v1.p1","Genome Sequencing of Circulating Tumor Cells for Minimally Invasive    Molecular Characterization of Multiple Myeloma Pathology","&#x0200b;&#x0200b;Multiple Myeloma (MM) develops from well-defined precursor stages known as Monoclonal Gammopathy of Undetermined Significance (MGUS) and Smoldering MM (SMM); however, invasive bone marrow (BM) biopsy limits screening and monitoring  strategies for patients. In this study, we enumerated circulating tumor cells (CTCs) from patients with precursor and overt diseases, and developed a","Not Applicable","Multiple Myeloma","Tumor vs. Matched-Normal","Not Provided","WGS","4 phenotype datasets, 15 variables, 135 samples sequenced, 51 subjects, 135 samples","","NCI","HMB --- Health/Medical/Biomedical","2023-01-05","2023-01-05","Monoclonal Gammopathy of Undetermined Significance; Smoldering Multiple Myeloma; Asymptomatic monoclonal gammopathy; Benign Monoclonal Gammapathies; Benign Monoclonal Gammapathy; Benign Monoclonal Gammopathies",""
"phs003117.v1.p1","Multiregional Single-Cell Transcriptomic Analysis of Liver Cancer","In this study, we performed single-cell transcriptomic profiling of human liver tissues collected from hepatocellular carcinoma and intrahepatic cholangiocarcinoma patients. A total of seven primary liver cancer patients enrolled in  this study. Samples were collected from multiple regions, including tumor core, tumor border and adjacent non-tumor tissue. The 10x Genomics platform","Not Applicable","Carcinoma, Hepatocellular","Case Set","Not Provided","RNA-Seq","3 phenotype datasets, 11 variables, 34 samples sequenced, 7 subjects, 34 samples","","NCI","GRU-COL --- General Research Use (COL), HMB-IRB-NPU --- Health/Medical/Biomedical (IRB, NPU), DS-LCCLD-IRB-NPU --- Disease-Specific (Liver Cancer and Chronic Liver Disease, IRB, NPU)","2023-01-04","2023-01-04","Liver Neoplasms; Adult Liver Cancer; Adult Liver Cancers; Cancer, Adult Liver; Cancers, Adult Liver; Carcinoma of Liver Cells",""
"phs000563.v2.p1","The Genomics of Pilocytic Astrocytoma Formation in Neurofibromatosis Type    1","Neurofibromatosis type 1 (NF1) inherited cancer predisposition syndrome is one of the most common autosomal dominant tumor predisposition syndromes in which affected individuals develop brain tumors. These low-grade glial neoplasms  (pilocytic astrocytomas) typically arise in children younger than 7 years of age and are hypothesized to result from a combination of germline and","Not Applicable","Astrocytoma","Case Set","custom_markerset","Methylation (CpG), WGS","4 phenotype datasets, 14 variables, 1 molecular datasets, 6 samples sequenced, 4 subjects, 10 samples","","NCI","DS-BST-GSO --- Disease-Specific (Brain and Spinal Tumors, GSO)","2022-12-23","2013-07-01","Neurofibromatosis Type 1; Glial Cell Tumor; Glial Cell Tumors; Glial Neoplasm; Glial Tumor; Glioma",""
"phs002691.v1.p1","The MD Anderson Colorectal Cancer Case Control Study","Colorectal cancer (CRC) is the second leading cause of cancer-related deaths in the US. Driven by common disease common variants hypothesis, genome-wide association studies only identified a number of common  susceptibility loci that explained a small portion of CRC heritability. We conducted a case-control study using whole exome sequencing to identify","Not Applicable","Colorectal Neoplasms","Case-Control","WGS_markerset_grc37","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 27 variables, 1 analyses, 1 molecular datasets, 5384 samples sequenced, 5384 subjects, 5384 samples","","NCI","HMB-PUB --- Health/Medical/Biomedical (PUB)","2022-12-22","2022-12-22","Family Medical History; CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine",""
"phs002866.v1.p1","Circulating Tumor DNA in Intermediate Risk Rhabdomyosarcoma","In this study, we evaluated circulating tumor DNA (ctDNA) as a biomarker in the serum of 124 patients with newly diagnosed intermediate risk rhabdomyosarcoma (IR RMS) from the&#x000a0;Children's Oncology Group&#x000a0;(COG)  biorepository. In addition to pre-treatment serum, we also analyzed matched tumor tissue and germline in a subset of patients. We profiled samples","Not Applicable","Rhabdomyosarcoma","Case Set","Not Provided","Targeted-Capture, WGS","4 phenotype datasets, 13 variables, 295 samples sequenced, 124 subjects, 295 samples","","NCI","HMB --- Health/Medical/Biomedical","2022-12-21","2022-12-21","Not Provided",""
"phs002432.v1.p1","Wistar PDX Development and Trial Center","Overall the outcomes of patients with metastatic melanoma have improved dramatically over the last decade due to an improved understanding of the molecular drivers of this disease. In particular, multiple  targeted therapy regimens have been approved for patients with a BRAFV600E/K mutation, which are present in 50% of cutaneous melanomas. These","Not Applicable","Melanoma","Case Set","Not Provided","Not Provided","4 phenotype datasets, 21 variables, 46 subjects, 185 samples","","NCI","GRU-COL --- General Research Use (COL)","2022-12-21","2022-12-21","Skin Neoplasms; Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant",""
"phs002802.v1.p1","Phase IB/II Study of Bazedoxifene in Combination with Palbociclib in    Patients with Endocrine Resistant Hormone Receptor-Positive Breast    Cancer","In this phase Ib/II clinical trial, the investigators evaluated the efficacy and safety of the combination of palbociclib with bazedoxifene in patients with a metastatic endocrine-resistant hormone receptor-positive, HER2-negative breast  cancer. Furthermore, whole exome sequencing of cell-free tumor DNA was done on serial samples from these patients, revealing potential molecular","Not Applicable","Breast Neoplasms","Clinical Trial","Not Provided","WGS, WXS","4 phenotype datasets, 18 variables, 98 samples sequenced, 32 subjects, 98 samples","","NCI","HMB --- Health/Medical/Biomedical","2022-12-15","2022-12-15","Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer",""
"phs002479.v1.p1","HCI-PDX Trial Center for Breast Cancer Therapy","The HCI-PDX Trial Center for Breast Cancer Therapy study is a collection of patient-tumor samples that are serially established as patient-derived tumor xenografts (human tumor in mouse) and matching organoids.  For this study, we describe valuable methods and resources to generate organoids and use them as cost-effective models for precision drug screens.","Not Applicable","Breast Neoplasms","Xenograft","RNAseq_probe_set_grc38, WES_markerset_grc38, Affymetrix_WG_Array, HumanOmni2.5-8, RNAseq_probe_set_grc38, WES_markerset_grc38","CNV Genotypes, RNA-Seq, SNV (.MAF), RNA Seq (NGS), WXS","4 phenotype datasets, 35 variables, 1 molecular datasets, 152 samples sequenced, 37 subjects, 227 samples","","NCI","GRU --- General Research Use","2022-12-15","2022-12-15","Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer",""
"phs001286.v3.p2","The Prostate, Lung, Colon, Ovary Screening Trial (PLCO)","The Prostate, Lung, Colorectal and Ovarian (PLCO) Cancer Screening Trial is a large population-based randomized trial designed and sponsored by the National Cancer Institute (NCI) to determine the effects of  screening on cancer-related mortality and secondary endpoints in over 150,000 men and women aged 55 to 74. The screening component of the trial was","Not Applicable","Neoplasms","Prospective Longitudinal Cohort","OncoArray, HumanOmni5-4, HumanOmni2.5-8, Global_Screening_Array-24, HumanOmniExpress-24, HumanOmni2.5-8, HumanOmni5-4, Global_Screening_Array-24, HumanOmniExpress-24, OncoArray","SNP/CNV (Array), SNP/CNV Genotypes (imputed)","4 phenotype datasets, 13 variables, 2 molecular datasets, 110559 subjects, 112062 samples","European (100737), African (154), East Asian (2749), African American (4481), Hispanic1 (225), Hispanic2 (1379), Other Asian or Pacific Islander (783), South Asian (160), Other (242)","NCI","CADM --- Research relating to adults diseases and methods","2022-12-12","2022-02-14","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs002518.v1.p1","Childhood Cancer Data Initiative (CCDI): OncoKids - NGS Panel for    Pediatric Malignancies","This study aimed to systematically collect clinical, registry and genomic data on pediatric cancer patients, and to contribute to the CCDI Pediatric Data Ecosystem. Clinical, treatment and outcome data on  1,039 pediatric cancer patients whose molecular profile was characterized on OncoKids gene panel at Children's Hospital Los Angeles was abstracted","Not Applicable","Neoplasms","Clinical Genetic Testing","Not Provided","AMPLICON","2 phenotype datasets, 5 variables, 2246 samples sequenced, 1039 subjects, 2246 samples","","NCI","GRU --- General Research Use","2022-12-07","2022-12-07","Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies",""
"phs003079.v1.p1","Spatiotemporal Evolution of the ccRCC Microenvironment Links    Intra-Tumoral Heterogeneity to Immune Escape CINOMA","We utilize temporal multi-regional multi-omics profiling to uncover the mechanisms of immune escape in clear cell renal cell carcinoma (ccRCC) in 29 patients including 17 patients from a neoadjuvant nivolumab  clinical trial. We observe that tumors can be broadly categorized into intra-tumoral heterogeneity (ITH) high and low, which correlates across","Not Applicable","Carcinoma, Renal Cell","Clinical Trial","Not Provided","AMPLICON, RNA-Seq, WXS","4 phenotype datasets, 28 variables, 449 samples sequenced, 29 subjects, 449 samples","","NCI","GRU --- General Research Use","2022-11-21","2022-11-21","ADENOCARCINOMA OF KIDNEY; Adenocarcinoma Of Kidneys; Adenocarcinoma of the Kidney; Adenocarcinoma, Renal; Adenocarcinoma, Renal Cell; Adenocarcinomas, Renal Cell",""
"phs002009.v1.p1","Genomic Landscape of Pediatric Germ Cell Tumors","Germ cell tumors (GCTs) are cancers of the testis, ovary and extragonadal sites that occur in infants, children, adolescents, and adults. Post-pubertal (type II) malignant GCTs may present as a  seminoma, non-seminoma or with mixed histologies. In contrast, pre-pubertal (type I) GCTs are limited to (benign) teratomas and (malignant) yolk sac","Not Applicable","Neoplasms, Germ Cell and Embryonal","Case Set","Not Provided","RNA-Seq","3 phenotype datasets, 11 variables, 32 samples sequenced, 32 subjects, 32 samples","","NCI","DS-PEDCR --- Disease-Specific (Pediatric Cancer Research)","2022-11-21","2022-11-21","Seminoma; Germ Cell and Embryonal Neoplasms; Germ Cell and Embryonic Neoplasms; Neoplasms, Germ Cell and Embryonic",""
"phs003035.v1.p1","Genomic Analysis of Nucleic Acid Sequences from Pancreatic Cancer","Our study aims to perform multi-omics analysis of pancreatic ductal adenocarcinoma. We performed dual single-cell RNA sequencing and whole genome sequencing on fresh tumor specimens and dual bulk RNA-sequencing and  16S amplicon sequencing on frozen tumor specimens to identify human and non-human nucleic acid sequences. Additionally, we identified microbial","Not Applicable","Carcinoma, Pancreatic Ductal","Case Set","Not Provided","AMPLICON, RNA-Seq, WGS","4 phenotype datasets, 16 variables, 36 samples sequenced, 12 subjects, 36 samples","","NCI","GRU --- General Research Use","2022-11-16","2022-11-16","Carcinoma, Ductal, Pancreatic; Carcinoma, Pancreas Duct-Cell; Carcinomas, Pancreas Duct-Cell; Carcinomas, Pancreatic Ductal; Duct Cell Carcinoma of the Pancreas; Duct Cell Carcinoma, Pancreas",""
"phs002840.v1.p1","The Transcriptomic Landscape of Oncogenic PI3K Reveals Key Functions in    Splicing and Gene Expression Regulation","This study includes RNA-seq of paired tumor biopsies from PIK3CA-mutated breast cancer patients that underwent treatment with PI3K&#x003b1; inhibitors. Patients with known PIK3CA mutations were enrolled in an open-label, phase  I dose-escalation study of oral daily GDC-0077 alone (Arm A), in combination with endocrine therapy with or without palbociclib (Arm C: GDC-0077 +","Not Applicable","Breast Neoplasms","Case-Control","Not Provided","RNA-Seq","4 phenotype datasets, 14 variables, 36 samples sequenced, 18 subjects, 36 samples","","NCI","DS-BRCA --- Disease-Specific (Breast Cancer)","2022-11-14","2022-11-14","Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer",""
"phs002652.v1.p1","Identification of Somatic Changes in Tumors from Fanconi Anemia Patients","This study focused on the identification of genomic signatures present in tumors from Fanconi anemia patients. Fanconi anemia is a rare hereditary disease caused by defects in DNA interstrand crosslink  repair. The primary patient phenotypes are bone marrow failure and cancer predisposition. We concentrated on squamous cell carcinomas and used whole","Not Applicable","Fanconi Anemia","Tumor vs. Matched-Normal","MethylationEPIC","Methylation (CpG), OTHER, RNA-Seq, Synthetic-Long-Read, WGS, WXS","6 phenotype datasets, 56 variables, 1 molecular datasets, 1 images, 131 samples sequenced, 46 subjects, 137 samples","","NCI","GRU --- General Research Use","2022-11-14","2022-11-14","DNA Damage; Genomic Instability; DNA Injuries; DNA Injury; DNA Lesion; DNA Lesions","dbGaP Collection: Compilation of Individual-Level Genomic Data for    General Research Use (phs000688.v1.p1)"
"phs002718.v1.p1","Genetics of Prostate Cancer in Africa","African Americans (AA) suffer from the highest rates of Prostate Cancer (CaP) in the world, but while men of African descent around the world suffer disproportionately from CaP compared to  men of other races or ethnicities, our understanding of the reasons for these disparities remains incomplete. To date, few exposure, lifestyle, or","Not Applicable","Prostatic Neoplasms","Case-Control","MADCaP_Array, imputation_panel","SNP Genotypes (Array), SNP/CNV Genotypes (imputed)","4 phenotype datasets, 17 variables, 1 documents, 2 molecular datasets, 4728 subjects, 4728 samples","","NCI","GRU --- General Research Use, DS-CA-IRB --- Disease-Specific (Cancer, IRB), DS-PC --- Disease-Specific (Prostate Cancer)","2022-11-04","2022-11-04","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate",""
"phs001003.v3.p1","Prospective Procurement of Solid Tumor Tissue to Identify Novel    Therapeutic Targets","Recent advances and insights into the molecular pathogenesis of cancer have led to the development of novel molecular and biologic targeted therapies for the treatment of advanced cancer patients. A  critical challenge in extending these studies involves the identification and validation of new therapeutic targets for future cancer therapies. In","Not Applicable","Melanoma","Prospective Longitudinal Cohort","Not Provided","RNA-Seq, WGS, WXS","5 phenotype datasets, 15 variables, 970 samples sequenced, 210 subjects, 970 samples","","NCI","GRU --- General Research Use","2022-11-04","2020-12-23","Esophageal Neoplasms; Paraneoplastic Syndromes, Ocular; Rectal Neoplasms; Bile duct cancer; CC; CCA","NCI's Collection of Datasets for General Research Use (phs003014.v1.p1)"
"phs003043.v1.p1","A Pilot Study to Evaluate Tissue- and Plasma-based DNA Driver Mutations    in a Cohort of Patients with Pancreatic Intraductal Papillary Mucinous    Neoplasms","This is a retrospective study aimed at evaluating concordance between intraductal papillary mucinous neoplasm (IPMN) tissue and patient-matched plasma circulating tumor DNA (ctDNA) using a targeted sequencing approach. Archival solid  tissue genomic DNA was available for 46 patient FFPE blocks patient-matched plasma ctDNA was available from 15 of those patients. All tissues were","Not Applicable","Pancreatic Intraductal Neoplasms","Tumor vs. Matched-Normal","Not Provided","Targeted-Capture","4 phenotype datasets, 14 variables, 61 samples sequenced, 46 subjects, 61 samples","","NCI","HMB-NPU --- Health/Medical/Biomedical (NPU)","2022-11-03","2022-11-03","Cyst, Pancreatic; Intraductal Neoplasm, Pancreatic; Cyst of Pancreas; Cyst of the Pancreas; Cysts, Pancreatic; Multiple pancreatic cysts",""
"phs001971.v1.p1","Kidney Two-Hit Mapping","Germ-line genetic variants identified thus far generally account for only part of the genetic risk predicted for most cancers. A component of the remaining risk may be explained by functionally  consequent genetic variants that are individually very rare (or private to that individual's family). While their identification may be highly","Not Applicable","Kidney Neoplasms","Case Set","Not Provided","WXS","4 phenotype datasets, 13 variables, 108 samples sequenced, 57 subjects, 108 samples","","NCI","DS-KD --- Disease-Specific (Kidney Disease)","2022-11-03","2022-11-03","Kidney Tumor; Kidney cancer; Kidney neoplasm; Neoplasia of the kidneys; Neoplasm of Kidney; Neoplasm of the Kidney",""
