Study name,Accession,Primary GPA,DAC,External Data Source,PI,Registration Status��
Determinants of venetoclax resistance,phs001875.v1.p1,Ian Fingerman,NCI DAC,,Catherine Wu,Released
Clonotypic heterogeneity in cutaneous T-cell lymphoma (mycosis fungoides) revealed by comprehensive whole exome sequencing,phs001877.v1.p1,Ian Fingerman,NCI DAC,,Robert Gniadecki,Released
Gabriella Miller Kids First - Novel Cancer Susceptibility in Families (from BASIC3),phs001878.v3.p1,Sharna Tingle,NHGRI,,Sharon Plon,Completed by GPA
Center for Common Disease Genomics (CCDG) - Cardiovascular: Emory Cohort,phs001880.v1.p1,Sharna Tingle,NHGRI,Yes,Ira Hall,Released
OncoArray: Follow-up of Ovarian Cancer Genetic Association and Interaction Studies (FOCI),phs001882.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Thomas Sellers,Released
Whole Exome Sequencing of DNA from Pre-Chemotherapy Needle Biopsies of Triple Negative and Inflammatory Breast Cancers Enrolled on the S0800 Trial,phs001883.v1.p1,Grace Mishkin,NCI DAC,,Lajos Pusztai,Released
OncoArray: Endometrial Cancer Association Consortium,phs001885.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Thomas Sellers,Released
Single-sperm Sequence Data from Twenty Sperm Donors,phs001887.v1.p1,Sharna Tingle,NHGRI,,Steven McCarroll,Released
Genomic Characterization CS-MATCH-0007 Arm H,phs001888.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Single Molecule Molecular Inversion Probe Capture Developed Using the CIViC Database,phs001890.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Obi Griffith,Released
CTSP Kidney Renal Clear Cell Carcinoma E2805T6,phs001893.v1.p2,Freddie Pruitt,NCI DAC,,Liming Yang,Completed by GPA
Center for Common Disease Genomics (CCDG) Neuropsychiatric: Homozygosity Mapping Consortium for Autism (HMCA),phs001894.v1.p1,Sharna Tingle,NHGRI,Yes,Thomas Maniatis,Released
Genome sequencing of lung cancer in European Americans and African Americans,phs001895.v2.p1,Kathleen Calzone,NCI DAC,,Brid Ryan,Released
Center for Common Disease Genomics [CCDG] - Cardiovascular: Genetics of Coronary Heart Disease - Characterizaton of Coronary Prone Pedigrees,phs001901.v1.p1,Sharna Tingle,NHGRI,Yes,Sekar Kathiresan,Released
OncoArray: Colorectal Cancer,phs001903.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Stephen Gruber,Released
Genomic Characterization CS-MATCH 0007 Arm Y,phs001904.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
CIDR: Molecular Pathological Epidemiology of Colorectal Cancer,phs001905.v2.p2,Emilie Charlisse Caga-Anan,NCI DAC,,Ulrike Peters,Released
Epigenetic activation of the FGF4 and KIT oncogenes in gastrointestinal stromal tumors,phs001906.v1.p1,Ian Fingerman,NCI DAC,,Bradley Bernstein,Released
CPTAC: Microscaled Proteogenomic Methods for Precision Oncology,phs001907.v1.p1,Sean Hanlon,NCI DAC,,Matthew Ellis,Released
Enhancer signatures stratify and predict outcomes of non-functional pancreatic neuroendocrine tumors,phs001910.v1.p1,Freddie Pruitt,NCI DAC,,Bradley Bernstein,Released
Evolution of Whole Genomes in nonprogressing and progressing Barrett's Esophagus,phs001912.v1.p1,Claire Zhu,NCI DAC,,Brian Reid,Released
Center for Common Disease Genomics (CCDG) - Cardiovascular: eMERGE - Northwestern Cohort,phs001913.v1.p1,Sharna Tingle,NHGRI,Yes,Ira Hall,Released
Improved Detection and Identification of Microsatellite Instability Features in Colorectal Cancer,phs001914.v1.p1,Sharna Tingle,NHGRI,,Hanlee Ji,Released
Clonally expanded T cells reveal immunogenicity of rhabdoid tumors,phs001915.v1.p1,Ian Fingerman,NCI DAC,,Joshua Waterfall,Completed by GPA
Prospective immune profiling using methylation markers and pancreatic cancer risk,phs001917.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Dominique Michaud,Released
Genomic and Transcriptomic Features of Response to Anti-PD-1 Therapy in Metastatic Melanoma,phs001919.v1.p1,Freddie Pruitt,NCI DAC,,Antoni Ribas,Released
Genomic Characterization of Brain Metastases,phs001920.v2,Freddie Pruitt,NCI DAC,,Priscilla Brastianos,Completed by GPA
DNA methylation and prostate cancer,phs001921.v1.p1,Ian Fingerman,NCI DAC,,Janet Stanford,Released
Case Study of Acquired Resistance to FGFR Inhibition in Cholangiocarcinoma using Targeted DNA and RNA Sequencing,phs001924.v1.p1,Freddie Pruitt,NCI DAC,,Sameek Roychowdhury,Released
Characterization of Clonal Evolution in Three MSI-H Cancers through Multi-regional Exome Sequencing,phs001925.v1.p1,Freddie Pruitt,NCI DAC,,Sameek Roychowdhury,Released
Genomic Characterization CS-MATCH-0007 Arm Q,phs001926.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
A comprehensive genomic study of pediatric malignancy,phs001928.v2.p2,Kathleen Calzone,NCI DAC,,Javed Khan,Released
Count Me In: The Angiosarcoma Project,phs001931.v1.p1,Freddie Pruitt,NCI DAC,Yes,Diane Diehl,Released
Clinical and Laboratory Analysis of Familial Cancer,phs001935.v1.p1,Kathleen Calzone,NCI DAC,,Kathleen Calzone,Released
"Genome, Exome, and Transcriptome Sequencing of Gastric Cancer",phs001936.v1.p1,Ian Fingerman,NCI DAC,,Julie Hotopp,Released
Neoadjuvant Intense ADT for High Risk Prostate Cancer,phs001938.v3.p1,Kathleen Calzone,NCI DAC,,William Dahut,Released
Count Me In: The Metastatic Prostate Cancer Project,phs001939.v3.p1,Freddie Pruitt,NCI DAC,Yes,Diane Diehl,Released
Multimodal Genomic Features Predict Outcome of Immune Checkpoint Blockade in Non-small Cell Lung Cancer,phs001940.v2.p1,Freddie Pruitt,NCI DAC,,Valsamo Anagnostou,Released
Molecular Genetics of Secondary Histiocytic/Dendritic Sarcoma,phs001942.v1.p1,Kathleen Calzone,NCI DAC,,Elaine Jaffe,Released
Hereditary Cancer Predisposition Syndromes and Uveal Melanoma,phs001943.v1.p1,Ian Fingerman,NCI DAC,,Mohamed Abdel-Rahman,Released
African Collaborative Center for Microbiome and Genomics Research (ACCME) - CIDR,phs001945.v1.p1,Barbara Thomas,NHGRI,,Clement Adebamowo,Released
Whole Transcriptome Sequencing of Resectable Stage III/IV Melanoma Evaluated After Starting Hu14.18-IL2 Predicts Outcome,phs001947.v1.p1,Kathleen Calzone,NCI DAC,,Javed Khan,Released
Genomic Characterization CS-MATCH-0007 Arm W,phs001948.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Relapsed Acute Lymphoblastic Leukemia (ALL): Mutational Landscape,phs001951.v2.p1,Ian Fingerman,NCI DAC,,Adolfo Ferrando,Released
Early Onset Malignancies Initiative,phs001952.v2.p1,Freddie Pruitt,NCI DAC,Yes,Worta McCaskill-Stevens,Released
Genomic Profiling of Metastatic Uveal Melanoma from a Phase I study of AEB071,phs001953.v1.p1,Ian Fingerman,NCI DAC,,Sophie Piperno-Neumann,Released
International Cancer Proteogenome Consortium (ICPC): Proteogenomics of Early Stage Lung Adenocarcinoma in Taiwan,phs001954.v2.p1,Sean Hanlon,NCI DAC,,Hsuan-Yu Chen,Released
A Unified Nanopore Platform for Direct Sequencing of Individual Full Length RNA Strands,phs001959.v1.p1,Sharna Tingle,NHGRI,,Mark Akeson,Released
Genomic Profiling of Peripheral T-cell Lymphoma,phs001962.v2.p1,Ian Fingerman,NCI DAC,,Teresa Palomero,Completed by GPA
Women's Health Study Accelerometer Data,phs001964.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,I-Min Lee,Released
MP2PRT: Identification of genetic changes associated with relapse and/or adaptive resistance in patients registered as Favorable Histology Wilms Tumor on AREN03B2,phs001965.v1.p1,Grace Mishkin,NCI DAC,Yes,Elizabeth Perlman,Released
Molecular Biomarkers in Glioma (Mechanisms and therapeutic implications of hypermutation in gliomas),phs001967.v1.p1,Freddie Pruitt,NCI DAC,,Keith Ligon,Released
Cellular Origins and Genetic Landscape of Cutaneous Gamma Delta T Cell Lymphoma,phs001969.v1.p1,Mariam Eljanne,NCI DAC,,Jaehyuk Choi,Released
DNA methylation of rhabdomyosarcoma,phs001970.v1.p1,Kathleen Calzone,NCI DAC,,Frederic Barr,Released
Two hit gene mapping in renal cell carcinoma,phs001971.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,James McKay,Released
Genomic Characterization CS-MATCH-0007 Arm Z1A,phs001973.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Large cancer fingerprint screening for detection of MRD,phs001977.v1.p1,Ian Fingerman,NCI DAC,,Viktor Adalsteinsson,Released
IGNITE: Genomic Medicine Implementation - The Personalized Medicine Program,phs001978.v1.p1,Sharna Tingle,NHGRI,,Julie Johnson,Released
Genomic landscape of human skin at a single-cell resolution,phs001979.v1.p1,Mariam Eljanne,NCI DAC,,Alan Shain,Released
University of Texas PDX Development and Trial Center Grant,phs001980.v2.p1,Grace Mishkin,NCI DAC,Yes,Jack Roth,Released
Copy Number Alteration Profiling of Myxofibrosarcoma and Undifferentiated Pleomorphic Sarcoma,phs001982.v1.p1,Freddie Pruitt,NCI DAC,,Samuel Singer,Released
A single-cell and single-nucleus RNA-Seq toolbox for fresh and frozen human tumors,phs001983.v1.p1,Freddie Pruitt,NCI DAC,Yes,Aviv Regev,Released
Gabriella Miller Kids First Pediatric Research Program in Enchondromatoses and Related Malignant Tumors,phs001987.v3.p1,Marcia Fournier,Kids First DAC,Yes,Nara Sobreira,Released
Molecular characterization of bulk and single cell prostate cancer,phs001988.v2.p1,Freddie Pruitt,NCI DAC,,Eliezer Van Allen,Released
"Low mutation burden and frequent loss of CDKN2A/B and SMARCA2, but not PRC2, define pre-malignant neurofibromatosis type 1-associated atypical neurofibromas",phs001993.v1.p1,Kathleen Calzone,NCI DAC,,Douglas Stewart,Released
Effects of tobacco smoking on the tumor immune microenvironment in head and neck squamous cell carcinoma,phs001994.v1.p1,Ian Fingerman,NCI DAC,,Christine Chung,Released
Kids First: Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads,phs001997.v1.p1,Freddie Pruitt,Kids First DAC,Yes,Azeez Butali,Released
CLL relapse after allo-HSCT,phs001998.v2.p1,Ian Fingerman,NCI DAC,,Catherine Wu,Released
Advanced Genetic and Molecular Analysis of Solid Tumors,phs001999.v1.p1,Ian Fingerman,NCI DAC,,Yuliya Pylayeva-Gupta,Released
The genomic landscape of Mongolian hepatocellular carcinoma,phs002000.v1.p1,Kathleen Calzone,NCI DAC,,Xin Wang,Released
Acquired Resistance Mechanisms to Osimertinib in EGFR Mutant Lung Cancer,phs002001.v1.p1,Kathleen Calzone,NCI DAC,,Udayan Guha,Released
Intratumoral NK Cell and ILC Landscape,phs002002.v1.p1,Claire Zhu,NCI DAC,,John Sunwoo,Released
Center for Common Disease Genomics (CCDG) - Neuropsychiatric: A Study of the Genetic Causes of Complex Pediatric Disorders (CAG),phs002004.v1.p1,Sharna Tingle,NHGRI,Yes,Thomas Maniatis,Released
MP2PRT: Comprehensive Genomic Profiling to Identity Alterations Associated with Relapse for NCI Stand Risk B-lineage ALL for NCI High Risk (HR) B-lineage ALL with Favorable Genetic Features,phs002005.v1.p1,Grace Mishkin,NCI DAC,Yes,Mignon Loh,Released
Segmental overgrowth/vascular anomalies/dermatologic disorders,phs002006.v2.p1,Sharna Tingle,NHGRI,,Leslie Biesecker,Released
Genomic landscape of pediatric germ cell tumors,phs002009.v1.p1,Ian Fingerman,NCI DAC,,James Amatruda,Released
PLCO - Limited Use Pilot Test Data,phs002011.v1.p1,Freddie Pruitt,NCI DAC,Yes,Paul Pinsky,Released
SEER Remote Access Pilot Test Data (2018),phs002012.v1.p1,Freddie Pruitt,NCI DAC,Yes,Lynne Penberthy,Released
Center for Common Disease Genomics [CCDG] - Cardiovascular: Partners Biobank,phs002018.v2,Sharna Tingle,NHGRI,Yes,Amit Khera,Incomplete
Whole exome and transcriptome analysis of UV-exposed epidermis and carcinoma in situ,phs002019.v1.p1,Ian Fingerman,NCI DAC,,John Seykora,Released
Chemotherapy and Unrelated Donor Stem Cell Transplantation for Patients With Cancers of the Blood and Immune System,phs002021.v1.p1,Kathleen Calzone,NCI DAC,,Steven Pavletic,Released
Genomic Analysis of Primary Plasma Cell Leukemia reveals complex Structural Alterations and High Risk Mutational Patterns,phs002022.v1.p1,Ian Fingerman,NCI DAC,,Carolina Schinke,Released
Medium-throughput drug screening of patient-derived organoids from colorectal peritoneal metastases can be used to guide therapy,phs002023.v1.p1,Ian Fingerman,NCI DAC,,Susan Woods,Released
Diet and probiotics impact the microbiome and melanoma immunotherapy response,phs002026.v1.p1,Ian Fingerman,NCI DAC,,Jennifer Wargo,Completed by GPA
Genomic Characterization CS-MATCH-0007 Arm B,phs002028.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Genomic Characterization CS-MATCH-0007 Arm R,phs002029.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Impact of Mobile Element Insertions on Human Transcriptome Variation,phs002030.v1.p1,Sharna Tingle,NHGRI,,Jinchuan Xing,Released
Genomic evolution of low and high grade glioma,phs002034.v1.p1,Freddie Pruitt,NCI DAC,,Joseph Costello,Released
Methylomic biomarkers for magnesium deficiency and colon neoplasia prevention,phs002037.v1.p1,Natalie Abrams,NCI DAC,,Qi Dai,Released
Center for Common Disease Genomics (CCDG) Neuropsychiatric: Autism Center of Excellence (ACE II),phs002042.v1.p1,Sharna Tingle,NHGRI,Yes,Thomas Maniatis,Released
Center for Common Disease Genomics (CCDG) Neuropsychiatric: Multimodal Developmental Neurogenetics of Females,phs002043.v1.p1,Sharna Tingle,NHGRI,Yes,Thomas Maniatis,Released
Center for Common Disease Genomics [CCDG] - Neuropsychiatric: Victorian Collaborative AuTism Study (CATS): Family and Community Study of the Genetics of Autism Spectrum Disorder,phs002044.v1.p1,Sharna Tingle,NHGRI,Yes,Thomas Maniatis,Released
Intraductal transplantation models of human pancreatic ductal adenocarcinoma reveal progressive transition of molecular subtypes,phs002045.v1.p1,Ian Fingerman,NCI DAC,,David Tuveson,Released
Genomic Profiling of Hematologic Disorders,phs002049.v1.p1,Ian Fingerman,NCI DAC,,Ross Levine,Released
Molecular Pathological Epidemiology of Colorectal Cancer,phs002050.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,Yes,Ulrike Peters,Released
DNA methylation in rhabdomyosarcoma PDX and PDX-derived primary cells,phs002051.v1.p1,Kathleen Calzone,NCI DAC,,Frederic Barr,Released
Neoadjuvant Pazopanib and Molecular Analysis of Tissue Response in Renal Cell Carcinoma,phs002053.v1.p1,Mariam Eljanne,NCI DAC,,Wendy Rathmell,Released
Genome Characterization of 9p- Syndrome,phs002054.v1.p1,Sharna Tingle,NHGRI,,Sessions Cole,Released
CIDR: Impact of Genetic Variants on Failure of Active Surveillance for Prostate Cancer,phs002056.v1.p1,Freddie Pruitt,NCI DAC,,William Catalona,Released
Genomic Characterization CS-MATCH-0007 Arm Z1I,phs002058.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Pharmacogenomic Analysis of Microtubule Targeting Agent Response and Toxicity,phs002060.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Deanna Kroetz,Released
Markers of genomic damage in HIV-uninfected children exposed to zidovudine in utero,phs002061.v1.p1,Geoffrey Tobias,NCI DAC,,Eric Engels,Released
Polygenic risk score for the prediction of breast cancer and terminal duct lobular unit involution of the breast,phs002062.v1.p1,Geoffrey Tobias,NCI DAC,,Gretchen Gierach,Released
Identification of novel viruses in anaplastic large cell lymphoma,phs002064.v1.p1,Geoffrey Tobias,NCI DAC,,Eric Engels,Released
Integrative molecular characterization of genitourinary cancers,phs002065.v2.p1,Freddie Pruitt,NCI DAC,,Eliezer Van Allen,Completed by GPA
Mechanisms of extreme genomic instability at large transcribed genes,phs002066.v2.p1,Ian Fingerman,NCI DAC,,Thomas Wilson,Released
Comprehensive Sequencing of High Grade Neuroendocrine Neoplasms,phs002070.v1.p1,Ian Fingerman,NCI DAC,,Pamela Kunz,Released
Multimodal Mapping of the Immune Landscape in Human Pancreatic Cancer,phs002071.v1.p1,Ian Fingerman,NCI DAC,,Marina Pasca Di Magliano,Released
Role of tobacco smoke in clear cell renal cell carcinoma,phs002083.v1.p1,Ian Fingerman,NCI DAC,,Maria Czyzyk-Krzeska,Released
Dynamics of genomic and immune responses during primary immunotherapy resistance in mismatch repair deficient tumors,phs002089.v1.p1,Kathleen Calzone,NCI DAC,,Anish Thomas,Released
�Refractory Cancer (RC) Program,phs002097.v2,Freddie Pruitt,NCI DAC,Yes,Liming Yang,Completed by GPA
Refractory Cancers (RC) HOPE-CARE,phs002098.v2,Freddie Pruitt,NCI DAC,,Liming Yang,Completed by GPA
CTSP Breast (PACT1T1),phs002100.v1.p2,Freddie Pruitt,NCI DAC,,Liming Yang,Completed by GPA
CTSP Breast (E5103),phs002101.v1.p2,Freddie Pruitt,NCI DAC,,Liming Yang,Completed by GPA
Genetic Effect of Chemotherapy Exposure in Children of Testicular Cancer Survivors,phs002104.v1.p1,Sharna Tingle,NHGRI,,Eliezer Van Allen,Completed by GPA
"GENE-FORECAST: GENomics, Environmental FactORs and the Social DEterminants of Cardiovascular Disease in African Americans STudy",phs002108.v1.p1,Sharna Tingle,NHGRI,,Gary Gibbons,Completed by GPA
MH-GRID 2.0,phs002109.v1.p1,Sharna Tingle,NHGRI,,Gary Gibbons,Completed by GPA
CSER: North Carolina Clinical Genomic Evaluation by Next-gen Exome Sequencing 2,phs002110.v1.p1,Sharna Tingle,NHGRI,Yes,Jonathan Berg,Released
CSER: Exome Sequencing in Diverse Populations in Colorado and Oregon,phs002111.v1.p1,Sharna Tingle,NHGRI,Yes,Katrina Goddard,Released
Improving Detection and Interpretation of Clinically Relevant Structural Variation,phs002112.v1.p1,Sharna Tingle,NHGRI,,Laura Conlin,Completed by GPA
Kids First: Hear-'n-Seq Sequencing for Hearing,phs002115.v1.p1,Freddie Pruitt,Kids First DAC,Yes,Jun Shen,Completed by GPA
Analyzing cancer stem cells isolated from central nervous system tumors - Martuza Protocol #2005P001609,phs002117.v1.p1,Ian Fingerman,NCI DAC,,Bradley Bernstein,Completed by GPA
Structural Annotation of the Human Genome,phs002119.v1.p1,Sharna Tingle,NHGRI,,Job Dekker,Completed by GPA
Center for Sub-Cellular Genomics,phs002120.v1.p1,Sharna Tingle,NHGRI,,Junhyong Kim,Released
Integrated Clinical and Transcriptomic Profiling to Characterize Disease Phenotype,phs002121.v1.p1,Sharna Tingle,NHGRI,,Anandi Krishnan,Released
Drop-BS: high-throughput single-cell bisulfite seqeuncing on a microfluidic droplet platform,phs002123.v2.p1,Sharna Tingle,NHGRI,,Chang Lu,Released
CIDR Genome-Wide Association Study of Neural Tube Defects,phs002129.v1.p1,Barbara Thomas,NHGRI,,Lawrence Brody,Completed by GPA
Kids First Study in Craniofacial Microsomia: Genetic Causes and Pathway Discovery,phs002130.v1.p1,Freddie Pruitt,Kids First DAC,Yes,Daniela Luquetti,Released
Dynamics of Tumor and Immune Responses During Immune Checkpoint Blockade in Non-Small Cell Lung Cancer,phs002131.v1.p1,Freddie Pruitt,NCI DAC,,Valsamo Anagnostou,Completed by GPA
Systematic Mapping and Prediction of Gene-Enhancer Connections,phs002134.v1.p1,Sharna Tingle,,,Jesse Engreitz,Completed by GPA
Evolution of New Regulatory Networks via Genetic Arms Races between KRAB Zinc Finger Proteins and Retrotransposons,phs002135.v1.p1,Sharna Tingle,,,Sofie Salama,Completed by GPA
Early noninvasive detection of response to targeted therapy in non-small cell lung cancer,phs002142.v1.p1,Freddie Pruitt,NCI DAC,,Victor Velculescu,Completed by GPA
Evolution of Chromatin Architecture and Transcriptional Regulation in Mammals,phs002146.v1.p1,Sharna Tingle,NHGRI,,Charles Danko,Released
Discovering New Targets for Chemoprevention in Familial Adenomatous Polyposis,phs002148.v1.p1,Claire Zhu,NCI DAC,,Eduardo Vilar-Sanchez,Completed by GPA
Integrated genomic profiling expands clinical options for cancer patients,phs002149.v1.p1,Ian Fingerman,NCI DAC,,Kevin White,Completed by GPA
Sequencing of sarcomatoid renal cell cancer,phs002150.v1.p1,Ian Fingerman,NCI DAC,,Kanishka Sircar,Completed by GPA
Genomic Characterization CS-MATCH-0007 Arm N,phs002151.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Genomic Characterization CS-MATCH-0007 Arm P,phs002152.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Genomic Characterization CS-MATCH-0007 Arm S1,phs002153.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
The Oral Microbiome for the Detection of Barrett's Esophagus,phs002154.v1.p1,Natalie Abrams,NCI DAC,,Julian Abrams,Completed by GPA
Kids First:Genomic Analysis of Esophageal Atresia and Tracheoesophageal Fistulas and Associated Congenital Anomalies,phs002161.v2,Freddie Pruitt,Kids First DAC,Yes,Wendy Chung,Completed by GPA
Kids First: Genetics of kidney and urinary tract malformations,phs002162.v3,Freddie Pruitt,Kids First DAC,Yes,Ali Gharavi,Completed by GPA
Translating Gene-Calcium Interactions to Precision Medicine for Colorectal Cancer,phs002164.v1.p1,Claire Zhu,NCI DAC,,Todd Edwards,Released
Scalable Engineered Membranes for the Production of Low-Cost Filter Devices for Single Cell Genomics,phs002167.v1.p1,Sharna Tingle,NHGRI,,Todd Gierahn,Completed by GPA
Serrated Colorectal Cancer: An Emerging Disease Subtype,phs002171.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Polly Newcomb,Released
Gabriella Miller Kids First Pediatric Research Project in Microtia in Hispanic Populations,phs002172.v1.p1,Marcia Fournier,Kids First DAC,Yes,Jonathan Seidman,Released
"Gabriella Miller Kids First Pediatric Research Program in Bladder Exstrophy, Epispadias, Complex (BEEC)",phs002173.v2.p2,Marcia Fournier,Kids First DAC,Yes,Angie Jelin,Released
"Gabriella Miller Kids First Pediatric Research Project in Cornelia de Lange Syndrome, Related Diagnosis and Structural Birth Defects",phs002174.v2.p1,Marcia Fournier,Kids First DAC,Yes,Ian Krantz,Released
Genomic Predictors of Response to PD-1/PD-L1 Blockade in Small Cell Lung Cancer,phs002176.v2.p1,Kathleen Calzone,NCI DAC,,Anish Thomas,Released
Genomic Characterization CS-MATCH-0007 Arm C1,phs002177.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Genomic Characterization CS-MATCH-0007 Arm S2,phs002178.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Genomic Characterization CS-MATCH-0007 Arm U,phs002179.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Genomic Characterization CS-MATCH-0007 Arm Z1B,phs002180.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
Genomic Characterization CS-MATCH-0007 Arm I,phs002181.v1.p1,Grace Mishkin,NCI DAC,Yes,Lyndsay Harris,Released
CIDR: Multiethnic GWAS of Cancer and related traits in the Multiethnic Cohort (MEC),phs002183.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Loic Le Marchand,Released
CIDR: Genetics of Graft-vs-Host Disease,phs002185.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Vahid Afshar-Kharghan,Released
Gabriella Miller Kids First - Myeloid Malignancies in Children,phs002187.v2.p1,Freddie Pruitt,Kids First DAC,Yes,Soheil Meshinchi,Released
Single Cell Genomic Analysis of Lymphoma,phs002188.v3.p1,Freddie Pruitt,NCI DAC,,Ronald Levy,Completed by GPA
Merkel cell carcinoma Tissue and Data Repository,phs002189.v2,Ian Fingerman,NCI DAC,,James Decaprio,Completed by GPA
Cancer Moonshot Biobank,phs002192.v5.p2,Freddie Pruitt,NCI DAC,Yes,Helen Moore,Released
Center for Common Disease Genomics [CCDG] - Inflammatory Bowel Disease (IBD): Global Microbiome Conservancy Host Exomes,phs002205.v1.p1,Sharna Tingle,NHGRI,Yes,Mark Daly,Released
Genomic Answers for Kids,phs002206.v5.p1,Sharna Tingle,NHGRI,Yes,Tomi Pastinen,Released
Tissue Procurement and Natural History Study of Patients with Malignant Mesothelioma and Other Mesothelin Expressing Cancers,phs002207.v2.p1,Kathleen Calzone,NCI DAC,,Raffit Hassan,Released
NCI MYCN amplified spinal cord ependymomas study,phs002209.v1.p1,Kathleen Calzone,NCI DAC,,Mark Gilbert,Completed by GPA
Comprehensive analysis of structural variants in breast cancer genomes using single molecule sequencing,phs002210.v1.p1,Brandon Wright,NCI DAC,,William McCombie,Released
National Cancer Institute Familial Burkitt Lymphoma in Shirati (FBiS),phs002223.v1.p1,Geoffrey Tobias,NCI DAC,,Sam Mbulaiteye,Completed by GPA
HTAN_MCL_PCAPP_Breast_CA,phs002225.v3.p1,Natalie Abrams,NCI DAC,,Christopher Amos,Released
"Innate Immune Deamination in Aged, Pre-leukemia and Leukemia Stem cells",phs002228.v2.p1,Ludmila Pawlikowska,NIDDK,,Catriona Jamieson,Released
Germ cell tumor molecular heterogeneity revealed through analysis of primary and metastasis pairs,phs002229.v1.p1,Sean Hanlon,NCI DAC,,Darren Feldman,Released
Germ cell tumor and associated hematologic malignancies,phs002231.v1.p1,Anil Wali,NCI DAC,,Omar Abdel-Wahab,Released
Global Microbiome Conservancy Sequence Data,phs002235.v2,Sharna Tingle,NHGRI,Yes,Eric Alm,Awaiting GPA's Approval
Center for Common Disease Genomics [CCDG] - Cardiovascular: Genetic and Phenotypic Determinants of Blood Pressure and other Cardiovascular Risk Factors,phs002236.v1.p1,Sharna Tingle,NHGRI,Yes,Patrick Ellinor,Released
Genomic profiling of relapsed and refractory childhood cancers,phs002238.v1.p1,Ian Fingerman,NCI DAC,,Giselle Sholler,Released
Noncoding RNA Biomarkers for Noninvasive and Early Detection of Pancreatic Cancer,phs002239.v1.p1,Natalie Abrams,NCI DAC,,Ajay Goel,Awaiting GPA's Approval
Center for Common Disease Genomics [CCDG] - Cardiovascular: SWISS-AF/SWISS-AF-PVI/BEAT-AF,phs002242.v1.p1,Sharna Tingle,NHGRI,Yes,Patrick Ellinor,Released
Center for Common Disease Genomics [CCDG] - Cardiovascular: PEGASUS-TIMI 54,phs002243.v1.p1,Sharna Tingle,NHGRI,Yes,Patrick Ellinor,Released
A model for predicting response to PD-1 inhibitors in NSCLC,phs002244.v1.p1,Brandon Wright,NCI DAC,,Edward Garon,Released
Genetic analysis of Latin American Breast Cancer,phs002246.v1.p1,Geoffrey Tobias,NCI DAC,,Michael Dean,Completed by GPA
Refractory Cancer - Peripheral T-Cell Lymphoma (RC-PTCL),phs002247.v2,Freddie Pruitt,NCI DAC,,Liming Yang,Completed by GPA
WES of HapMap cell lines and admixtures for assay validation,phs002248.v1.p1,Freddie Pruitt,NCI DAC,,Paul Williams,Completed by GPA
"HubMAP: KULMAP - Human Kidney, Urinary Tract, and Lung Mapping Center",phs002249.v3,Sharna Tingle,NHGRI,,Sanjay Jain,Completed by GPA
"CIDR: Discovery, Biology, and Risk of Inherited Variants in Glioma",phs002250.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,Yes,Melissa Bondy,Released
Cellular and molecular characterization of renal cell carcinoma,phs002252.v1.p1,Freddie Pruitt,NCI DAC,,Catherine Wu,Released
CCG Multicentric Italian Lung Detection,phs002253.v1.p1,Freddie Pruitt,NCI DAC,Yes,Liming Yang,Released
Characterization of immune evasion in Merkel cell carcinoma,phs002260.v2.p1,Ian Fingerman,NCI DAC,,Catherine Wu,Released
Characterization of high-grade serous ovarian cancer subtypes via single-cell profiling,phs002262.v3.p1,Ian Fingerman,NCI DAC,,Casey Greene,Released
