type	resource_uuid	resource_source_id	resource_title	resource_short_description	resource_source_url	resource_tool_type	resource_tool_subtype	resource_research_area	resource_research_type	resource_access	resource_doc	resource_poc_email	resource_poc_name	resource_full_description
resource	a61f4c16-36b7-59d1-8fa2-e622f9cc78c6	r4r_0055	NCI-60 MicroXeno Data	The MicroXeno Project array data is a reference dataset that can be used to study multiple xenograft models at multiple passage <em>in vivo</em>.	https://dtp.cancer.gov/databases_tools/microxeno_project.htm	Datasets and Databases		Cancer Biology;Cancer Treatment	Basic;Translational	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			The MicroXeno Project was initiated to generate genome-wide oligonucleotide microarray data for all subcutaneous xenograft models currently used within the DTP . The array data provided here is a reference dataset that can be used to study multiple xenograft models at multiple passage <em>in vivo</em>.
resource	a5c5d4a0-a534-5f22-812c-a60a058fddfd	r4r_0056	NCI-60 Human Tumor Cell Lines Screen	The NCI-60 Human Tumor Cell Lines Screen utilizes 60 different human tumor cell lines to identify and characterize novel compounds with growth inhibition or killing of tumor cell lines.	https://dtp.cancer.gov/discovery_development/nci-60/default.htm	Datasets and Databases;Lab Tools	Assays	Cancer Biology;Cancer Treatment	Basic;Translational	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			The NCI-60 Human Tumor Cell Lines Screen was implemented in fully operational form in 1990 and utilizes 60 different human tumor cell lines to identify and characterize novel compounds with growth inhibition or killing of tumor cell lines.
resource	eb91d826-a44f-5436-bde0-642b219e3159	r4r_0057	Compound inhibition Bulk Data Download	This data set offers compound sensitivity data for the NCI-60 screen and similar screens run on sarcoma cell lines and small cell lung cancer cell lines.	https://dtp.cancer.gov/dtpstandard/subsets/comp.jsp	Datasets and Databases	Clinical Data	Bioinformatics;Cancer Biology;Cancer Treatment	Basic;Clinical Trials;Translational	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			Compound sensitivity data for the NCI-60 screen and similar screens run on sarcoma cell lines and small cell lung cancer cell lines.
resource	88626cb1-ef9c-545b-903e-44dfc4a4d900	r4r_0058	Developmental Therapeutics Program (DTP) Dose Response Bulk Data Download	This dataset provides compound sensitivity data for the NCI-60 screen and similar screens run on sarcoma cell lines and small cell lung cancer cell lines.	https://dtp.cancer.gov/dtpstandard/subsets/dose.jsp	Datasets and Databases		Bioinformatics;Cancer Biology;Cancer Treatment	Basic;Translational	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			Compound sensitivity data for the NCI-60 screen and similar screens run on sarcoma cell lines and small cell lung cancer cell lines.
resource	26caef52-17ee-5a90-b8ea-dafd6627a56a	r4r_0059	NCI Almanac	This resource helps researchers identify potentially promising combinations of cancer drugs by providing data and analysis tools showing how well pairs of Federal Drug Administration (FDA)-approved cancer drugs performed in killing tumors cells for the NCI-60 human tumor cell lines.	https://dtp.cancer.gov/ncialmanac/initializePage.do	Datasets and Databases		Cancer Biology;Cancer Treatment	Basic;Translational	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			Helps researchers identify potentially promising combinations of cancer drugs by providing data and analysis tools showing how well pairs of FDA-approved cancer drugs performed in killing tumors cells for the NCI-60 human tumor cell lines.
resource	f5a73f07-a3a3-5e8a-a443-5ca575740f5a	r4r_0060	Repository of Chemical Agents- Small Molecules and Isolated Natural Products	This is a repository of more than 200,000 synthetic compounds and pure natural products that are available to investigators for non-clinical research purposes.	https://dtp.cancer.gov/organization/dscb/obtaining/default.htm	Lab Tools	Compounds;Reagents	Cancer Biology;Cancer Treatment	Basic	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			The Developmental Therapeutics Program (DTP) maintains a repository of synthetic compounds and pure natural products that are available to investigators for non-clinical research purposes. The repository collection is a uniquely diverse set of more than 200,000 compounds that have been either submitted to DTP for biological evaluation or, in some cases, synthesized under DTP auspices.
resource	d727b853-106d-5138-918a-a647b673218a	r4r_0061	Repository of Natural Products-Crude Extracts	This repository is the world's largest storehouse of natural products for testing against any human disease. The respository consists of nearly 170,000 extracts from samples of more than 70,000 plants and 10,000 marine organisms collected from more than 25 countries, plus more than 30,000 extracts of diverse bacteria and fungi.	https://dtp.cancer.gov/organization/npb/introduction.htm	Lab Tools	Compounds;Plant Samples;Reagents	Cancer Biology;Cancer Treatment	Basic	Requires Registration	Division of Cancer Treatment & Diagnosis (DCTD)			The Developmental Therapeutics Program's (DTP) Natural Products Repository is the world's largest storehouse of natural products. It houses close 170,000 extracts from samples of more than 70,000 plants and 10,000 marine organisms collected from more than 25 countries, plus more than 30,000 extracts of diverse bacteria and fungi. The Natural Products Repository, administered by the Natural Products Branch, provides extramural researchers with natural products extracts for testing against any human disease.
resource	0f4e97b6-990a-549e-a0f9-0bf3a12fad9d	r4r_0062	Data Dictionary Refine (D2Refine)	D2Refine is an integrated platform based on Open Refine that enables cancer study data/metadata harmonization and quality assurance.	https://github.com/caCDE-QA/D2Refine/wiki	Analysis Tools;Terminology	Modeling	Bioinformatics		Open Access	Informatics Technology for Cancer Research (ITCR)			D2Refine is an integrated platform that enables cancer study data/metadata harmonization and quality assurance. The platform is based on Open Refine and has been enhanced with a suite of plugins.
resource	e4f9b5bb-68e6-519e-8e4d-394aaa9f3866	r4r_0063	Web Ontology Language Quality Assurance (OWL-QA)	OWL-QA is an OWL-based QA tool for cancer study common data elements (CDEs). The tool uses the combination of the NCI Thesaurus and additional disjointness axioms to detect potential errors and duplications in the data element definitions.	https://github.com/caCDE-QA/owl-qa	Analysis Tools;Terminology	Modeling	Bioinformatics	Clinical;Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			OWL-QA is an OWL-based QA tool for cancer study CDEs. The tool uses the combination of the NCI Thesaurus and additional disjointness axioms to detect potential errors and duplications in the data element definitions. The tool comprises three modules: Data Integration and Services Module, Compositional Expression Transformation Module, and OWL-based Quality Assurance Module.
resource	25c0a077-b3c5-5d52-9481-a794daa23855	r4r_0064	Shape Expression Validation Tools (ShEx)	ShEx is a quality assurance tool based on the Shape Expressions Language, which is an emerging World Wide Web Consortium (W3C) standard to validate Resource Description Framework (RDF) graphs.	https://github.com/caCDE-QA/ShEX	Analysis Tools	Data Visualization;Modeling	Bioinformatics	Clinical	Open Access	Informatics Technology for Cancer Research (ITCR)			ShEx is a quality assurance tool based on the Shape Expressions Language, which is an emerging W3C standard to validate RDF graphs.
resource	f509b269-8d2c-50d3-ad63-1eb90ff047d8	r4r_0065	Methylation Integration (Mint)	Mint is a comprehensive software pipeline and set of Galaxy tools/workflows for integrative analysis of genome-wide DNA methylation and hydroxymethylation data. Data types can be either bisulfite sequencing and/or pull-down methods.	https://github.com/sartorlab/mint	Analysis Tools	Genomic Analysis	Cancer Biology;Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			Mint is a comprehensive software pipeline and set of Galaxy tools/workflows for integrative analysis of genome-wide DNA methylation and hydroxymethylation data. Data types can be either bisulfite sequencing and/or pull-down methods.
resource	32cbbd33-b8a6-5166-8f95-ccf9af61ad7d	r4r_0066	Trinity Cancer Transcriptome Analysis Toolkit (CTAT)	Trinity CTAT provides tools for leveraging RNA-Seq to gain insights into the biology of cancer transcriptomes.	https://github.com/trinityrnaseq/trinityrnaseq/wiki	Analysis Tools	Genomic Analysis	Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			Trinity Cancer Transcriptome Analysis Toolkit (CTAT) aims to provide tools for leveraging RNA-Seq to gain insights into the biology of cancer transcriptomes, including de novo transcriptome assembly with downstream support for expression analysis and focused analyses on cancer transcriptomes, incorporating mutation and fusion transcript discovery, and single cell analysis.
resource	8775aab5-e51d-5320-8dfe-e85eda672bce	r4r_0067	BioMuta	BioMuta is an annotated single-nucleotide variation (SNV) and disease association database in which variations are mapped to positions at genome, protein, and gene levels. The current database contains a total of 4,684,236 nonsynonymous SNVs (nsSNVs) reported in 18,269 genes across 77 Disease Ontology cancer types.	https://hive.biochemistry.gwu.edu/biomuta	Datasets and Databases	Genomic Datasets	Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			BioMuta is an annotated SNV and disease association database in which variations are mapped to positions at genome, protein, and gene levels. The current BioMuta database (BioMuta v3.0) contains a total of 4,684,236 nsSNVs reported in 18,269 genes across 77 Disease Ontology cancer types. A small number of variants were added to BioMuta following manual literature review of PubMed abstracts.
resource	5cf28616-164c-5acc-a8e1-f50ebd2c9dae	r4r_0070	Know Your Chances	The Know Your Chances websites provides interactive risk charts that show the likelihood of dying from a variety of cancer types and other diseases over a specific time frame, with the ability to account for age, sex, and race.	https://knowyourchances.cancer.gov/	Datasets and Databases	Epidemiologic Data	Cancer Health Disparities;Cancer Public Health;Cancer Statistics	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	feuerr@mail.nih.gov;scotts2@mail.nih.gov	Eric (Rocky) Feuer;Susan Scott	The Know Your Chances website provides interactive risk charts to put cancer in context. The risk charts show the likelihood of dying from a variety of cancer types and other diseases over a specific time frame. Because age, sex, and race are so important in determining a person's chances of dying from cancer or another disease, the charts allow the user to account for those factors.
resource	c46131fe-d5e8-5dd1-92b2-b7e499d29955	r4r_0071	Repository of Biologicals-Monoclonal Antibodies, Cytokines, and Biological Reagents	This NCI-sponsered facility stores and distributes bulk cytokines, monoclonal antibodies, andother useful biological reagents.	https://ncifrederick.cancer.gov/research/brb/logon.aspx	Lab Tools	Reagents;Vectors	Cancer Biology;Cancer Treatment	Basic;Clinical Trials	Requires Registration	Division of Cancer Treatment & Diagnosis (DCTD)			This NCI-sponsored facility supplies useful biological reagents to researchers. The catalog of cytokines, monoclonal antibodies, and other biological tools are kept under carefully controlled conditions. The repository provides a constant and uniform supply of high-quality reagents to nonprofit institutions and qualified commercial establishments at no charge. Product specification sheets are provided with the reagents.
resource	4233cea6-a86a-59f2-b257-ecc7b34e1473	r4r_0072	National Clinical Trials Network (NCTN)/NCI Community Research Oncology Program (NCORP) Data Archive	This data archive is a centralized, controlled-access database for storing and sharing datasets generated from clinical trials of the NCTN for use in secondary studies.	https://nctn-data-archive.nci.nih.gov	Datasets and Databases	Clinical Data	Cancer Treatment	Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			NCI has created a centralized, controlled-access database, called the NCTN/NCORP Data Archive, for storing and sharing datasets generated from clinical trials of the NCTN to make these datasets available in a timely manner, on appropriate terms and conditions, to researchers who wish to analyze the data in secondary studies to enhance the public health benefit of the original work.
resource	8a933c1e-1608-5ba6-9d42-f4f12d39a2b8	r4r_0073	Personalized Cancer Therapy	The Personalized Cancer Therapy website is a curated website cataloging clinically actionable information for personalized cancer therapy, including clinically significant genetic variants and drug-gene association.	https://pct.mdanderson.org/#/	Datasets and Databases	Genomic Datasets	Cancer Omics;Cancer Treatment	Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			The Personalized Cancer Therapy website is a curated website cataloging clinically actionable information for personalized cancer therapy, including clinically significant genetic variants and drug-gene association.
resource	1a33d773-bde5-5817-9de5-eabfacf435e2	r4r_0074	NCI Patient Derived Models Repository (PDMR)	This repository inlcudes PDMs comprised of patient-derived xenografts (PDXs) and <em>in vitro</em> patient-derived cell cultures (PDCs), including mixed cell populations, clonal cell lines, and fibroblast cell lines.	https://pdmr.cancer.gov	Lab Tools	Biospecimen	Cancer Biology;Cancer Health Disparities;Cancer Treatment	Basic	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			The NCI PDMR is a repository of low passage patient-derived xenografts (PDXs), cell lines (PDCs), organoids (PDOrg), and cancer associated fibroblasts (CAFs) available to investigators at both non-profit and for-profit institutions for a modest cost. The PDMR generates models from solid tumor histologies with a focus on complimenting existing publicly available models and filling in gaps where needed, for instance creating models for rare cancers (e.g., mesothelioma, Merkel cell carcinoma, osteosarcoma, salivary gland cancer, and others). Available models include clinical history and molecular characterization information so investigators can select models best fit to their research. Researchers not interested in performing wet lab studies can mine the metadata associated with the models using the NCI PDMR database.
resource	1a1b4fc9-5a83-5a9b-8330-46cce218a1e1	r4r_0075	AMARETTO	AMARETTO is an algorithm that integrates copy number, DNA methylation, and gene expression data to identify a set of driver genes by analyzing cancer samples and connects them to clusters of co-expressed genes.	http://portals.broadinstitute.org/pochetlab/amaretto.html	Analysis Tools	Genomic Analysis	Cancer Omics;Causes of Cancer	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			AMARETTO is for multi-omics data fusion and reformulations for pan-etiology and pan-cancer applications. AMARETTO is an algorithm that integrates copy number, DNA methylation, and gene expression data to identify a set of driver genes by analyzing cancer samples and connects them to clusters of co-expressed genes.
resource	b0348eca-e57f-5c80-abbf-529535cceedb	r4r_0076	P-Mart	P-Mart is a web-based software platform to enable analysis and exploration of publicly available cancer proteomic datasets, such as those generated by the Clinical Proteomic Tumor Analysis Consortium (CPTAC) program.	https://pmart.labworks.org/index.html	Analysis Tools;Datasets and Databases	Genomic Analysis;Genomic Datasets	Cancer Omics	Basic	Open Access	Informatics Technology for Cancer Research (ITCR)			P-Mart is a web-based software platform to enable analysis and exploration of publicly available cancer proteomic datasets, such as those generated by the CPTAC program.
resource	e6424f7f-7c2e-58e3-84ac-86c00cfbaf94	r4r_0077	Small Area Estimates for Cancer-Related Measures	This interactive website provides access to several small area estimation projects pertaining to risk factors. Model-based methods that combine information from one or two large-scale national surveys and multiple related sources have been developed to produce state or county-level estimates for a number of measures.	https://sae.cancer.gov/	Datasets and Databases		Cancer Prevention;Screening and Detection	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	liub2@mail.nih.gov	Benmei Liu	This interactive website provides access to several small area estimation projects conducted by the National Cancer Institute. Model-based methods that combine information from one or two large-scale national surveys and multiple related sources have been developed to produce state or county-level estimates for a number of measures. The cancer-related measures included in the website pertain to risk factors (e.g., smoking prevalence), screening behaviors, tobacco use and policies (e.g., smoke-free laws), and knowledge (e.g., estimates for variables included in the Health Information National Trends Survey (HINTS)). The user may choose to display the estimates in a geographic map or in a table.
resource	8f031c2e-8e51-567d-bb7e-3b7e4652fe87	r4r_0078	Sarcoma Project Data	The resource provides access to compound sensitivity data for human adult and pediatric sarcoma cell lines in the NCI-60 collectionwith 9 point concentration response and 4-day exposure plus gene expression and microRNA expression.	https://sarcoma.cancer.gov/sarcoma/downloads.xhtml	Datasets and Databases		Cancer Biology;Cancer Omics;Cancer Treatment	Basic;Translational	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			"This resource provides access to compound sensitivity data for approximately 450 compounds, including FDA-approved anticancer drugs and investigational agents on established adult and pediatric sarcoma cell lines .These data, along with gene expression data derived from Affymatrix exon arrays and microRNA expression determined from Nanostring technology, are available from the Sarcoma Project Data website. This study has been published (<a href=""https://www.ncbi.nlm.nih.gov/pubmed/26351324"">Mol Cancer Ther</a>. 2015 Nov;14(11):2452-62. doi: 10.1158/1535-7163)."
resource	2e179840-6870-5980-984c-8adea21206ea	r4r_0080	Surveillance, Epidemiology, and End Results (SEER) Research Data	The SEER Research Data include SEER incidence and population data associated by age, sex, race, year of diagnosis, and geographic areas (including SEER registry and county).	https://seer.cancer.gov/data/	Datasets and Databases	Epidemiologic Data	Cancer Health Disparities;Cancer Public Health;Cancer Statistics	Epidemiologic	Requires Registration	Division of Cancer Control & Population Sciences (DCCPS)	af2202@cumc.columbia.edu	Kathy Cronin	The SEER Research Data include SEER incidence and population data associated by age, sex, race, year of diagnosis, and geographic areas (including SEER registry and county). Use of these data for publication purposes should contain a citation which includes submission and release dates. Cancer researchers use these data to analyze trends and conduct studies. Data come from SEER registries, which are population-based registries that maintain high data quality. The SEER Program now covers approximately 48% of the US population, including significant representation across racial/ethnic groups.
resource	a53d6be7-c7bb-5d1e-b386-9542871085b4	r4r_0081	SEER*Explorer	SEER\*Explorer is an interactive website that provides easy access to detailed statistics for a cancer site by gender, race, calendar year, age, and for a selected number of cancer sites, by stage and histology.	https://seer.cancer.gov/explorer/	Datasets and Databases	Epidemiologic Data	Cancer Health Disparities;Cancer Public Health;Cancer Statistics;Cancer Survivorship	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	mariotta@mail.nih.gov;patricia.murphy@nih.gov	Angela Mariotto;Patricia Murphy	SEER\<em>Explorer is a new interactive website that provides easy access to a wide range of SEER cancer statistics. It provides detailed statistics for a cancer site by gender, race, calendar year, age, and for a selected number of cancer sites, by stage and histology. Users can create custom graphs and tables, download data and images, share links to results, and (coming soon) download SEER\</em>Stat sessions.
resource	0d105591-2fed-55df-b6d6-38120b998683	r4r_0082	Health Drivers Calculator (HD*Calc)	HD\*Calc is statistical software designed to generate multiple summary measures to evaluate and monitor health disparities.	https://seer.cancer.gov/hdcalc/	Analysis Tools	Data Visualization	Cancer Health Disparities;Cancer Public Health;Cancer Statistics	Epidemiologic	Requires Registration	Division of Cancer Control & Population Sciences (DCCPS)	lewisde@mail.nih.gov	Denise Lewis	HD\<em>Calc allows the user to import Surveillance, Epidemiology, and End Results (SEER) or other population-based health data and calculate any of eleven disparity measurements. Cancer rates and other data categorized by disparity groups such as race/ethnicity, socioeconomic status, and geographic area can be used with HD\</em>Calc to generate output presented in tabular and graphic formats.
resource	4c7b28ec-37fc-5f29-aa4b-51cf4dd3e2c4	r4r_0083	Annual Report to the Nation on the Status of Cancer	The Annual Report to the Nation is a publication that provides an update of rates for new cases and deaths, as well as trends, for the most common cancers in the United States.	https://seer.cancer.gov/report_to_nation/	Analysis Tools	Statistical Software	Cancer Health Disparities;Cancer Statistics;Cancer Survivorship	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	cronink@mail.nih.gov	Kathy Cronin	The report includes a special section to highlight a major topic in cancer surveillance. Recent topics include financial toxicity, progress toward Healthy People 2020 objectives, survival, prostate cancer, and molecular subtypes of breast cancer. This is an annual collaboration between NCI, North American Association of Central Cancer Registries, the Centers for Disease Control and Prevention, and the American Cancer Society. The agencies rotate between leading the report. Typically, the trends are by sex and race/ethnicity. The Surveillance, Epidemiology, and End Results (SEER) programwebsite hosts a microsite with summaries, factoids, links, and other shareable resources.
resource	729ce009-8930-50a9-880f-44f63ea84912	r4r_0084	SEER*Stat Software	The SEER\*Stat statistical software is a powerful PC tool to view individual cancer records and to produce statistics for studying the impact of cancer on a population.	https://seer.cancer.gov/seerstat/	Analysis Tools;Datasets and Databases	Epidemiologic Data;Statistical Software	Cancer Health Disparities;Cancer Public Health;Cancer Statistics	Epidemiologic	Requires Registration	Division of Cancer Control & Population Sciences (DCCPS)	mariotta@mail.nih.gov	Angela Mariotto	The SEER\<em>Stat statistical software provides a convenient, intuitive mechanism for the analysis of SEER and other cancer-related databases. It is a powerful PC tool to view individual cancer records and to produce statistics for studying the impact of cancer on a population. SEER\</em>Stat software is distributed with the SEER Research Data and users must obtain access to the data before using the software.
resource	6ebddae3-4c3f-55db-bb5d-5aad1da33402	r4r_0085	Cancer Stat Fact Sheets (Stat Facts)	These fact sheets provide frequently requested cancer statistics, such as incidence, mortality, survival, stage, prevalence, and lifetime risk, for a number of common cancer types.	https://seer.cancer.gov/statfacts/	Analysis Tools	Statistical Software	Cancer Health Disparities;Cancer Statistics	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)		Patricia Murphy	These statistical summaries provide a quick overview of frequently requested cancer statistics, which may include incidence, mortality, survival, stage, prevalence, and lifetime risk, by cancer site for a number of common cancer types. . Along with cancer types, Stat Facts also highlight statistics related to certain special topics such as cancer health disparities. The Surveillance, Epidemiology, and End Results (SEER) program posts several new stat facts a year. Recent new fact sheets include pages for specific childhood cancer sites.
resource	1f4a65f3-6c65-5b26-90c8-85968304ac24	r4r_0086	Modified UMS, Modified SemRep and SemMedDB-UTH	This database holds semantic predications extracted from MEDLINE citations with a version of SemRep that increases the number of predications on drug therapies for cancer.	https://skr3.nlm.nih.gov/SemMedDB/index_uth.html	Terminology		Bioinformatics;Cancer Biology;Cancer Diagnosis	Clinical;Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			Modified UMLS, modified SemRep and SemMedDB-UTH are resources (UMLS, SemMedDB-UT) and tools (SemRep) created and maintained by National Library of Medicine (NLM) that we have modified for personalized cancer therapy and returned to the NLM.
resource	804f0a23-e177-50bf-85b0-a6a648ca3498	r4r_0087	State Cancer Profiles	This interactive website provides cancer statistics, charts, and maps for data topics across the cancer control continuum, including demographics, risk factors, screening, cancer knowledge, incidence, prevalence, and mortality. The focus is on cancer sites with evidence-based cancer control interventions.	https://statecancerprofiles.cancer.gov/	Datasets and Databases	Epidemiologic Data	Cancer Health Disparities;Cancer Statistics;Causes of Cancer;Screening and Detection	Epidemiologic;Translational	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	tatalovichzp@mail.nih.gov	Zaria Tatalovich	State Cancer Profiles characterizes the cancer burden in a standardized manner to motivate action, integrate surveillance into cancer control planning, characterize areas and demographic groups, and expose health disparities. This interactive website provides cancer statistics, charts, and maps for data topics across the cancer control continuum, including demographics, risk factors, screening, cancer knowledge, incidence, prevalence, and mortality. The focus is on cancer sites with evidence-based cancer control interventions. The website provides support for deciding where to focus cancer control efforts. State Cancer Profiles is one tool of the Cancer Control P.L.A.N.E.T. portal, which provides access to Web-based resources.
resource	7132760c-e583-5f7d-8572-fa39e695c928	r4r_0088	CI*Rank	The CI\*Rank website provides age-adjusted U.S. incidence and mortality rates by geographic region, plus the confidence intervals for those rates and their ranks.	https://surveillance.cancer.gov/cirank/	Datasets and Databases	Epidemiologic Data	Cancer Health Disparities;Cancer Public Health;Cancer Statistics	Epidemiologic	Open Access	Division of Cancer Control & Population Sciences (DCCPS)	scotts2@mail.nih.gov	Susan Scott	The CI\<em>Rank website provides age-adjusted U.S. incidence and mortality rates by geographic region, plus the confidence intervals for those rates and their ranks. Results presented in CI</em>Rank help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful.
resource	dda09a59-8893-5c53-9290-b1849b65f7f0	r4r_0089	DevCan	This tool consists of statistical software and associated databases that compute the probability of being diagnosed with or dying of cancer for a particular selected cancer site.	https://surveillance.cancer.gov/devcan/	Analysis Tools	Modeling	Cancer Health Disparities;Cancer Public Health;Cancer Statistics	Epidemiologic	Requires Registration	Division of Cancer Control & Population Sciences (DCCPS)	scotts2@mail.nih.gov	Susan Scott	Depending on user preference, the probability may be calculated either from birth (lifetime risk) or for a person who is a particular age. DevCan uses Surveillance, Epidemiology, and End Results (SEER) data to calculate incidence and Centers for Disease Control and Prevention/Nationaal Center for Health Statistics data to calculate mortality. This is a PC-based software. The current version supports rate editing, sensitivity analysis, user-defined databases, confidence intervals, and the ability to get risk estimates from any age to any age.
resource	83a13ece-bb42-5ce8-8254-0379176e2d71	r4r_0090	Joinpoint Trend Analysis Software	Joinpoint software is statistical software for analyzing trend data (e.g., cancer incidence rates) using joinpoint models. It is available in desktop version (for a PC) and command-line version (for use in batch mode or called from other software, such as SAS or R).	https://surveillance.cancer.gov/joinpoint/	Analysis Tools	Modeling	Cancer Health Disparities;Cancer Public Health;Cancer Statistics	Epidemiologic	Requires Registration	Division of Cancer Control & Population Sciences (DCCPS)	feuerr@mail.nih.gov;scotts2@mail.nih.gov	Eric (Rocky) Feuer;Susan Scott	"Statistical software for analyzing trend data (e.g., cancer incidence rates) using joinpoint models, that is, models where several different lines are connected together at the ""joinpoints"". Cancer trends reported in NCI publications are calculated using the Joinpoint Regression Program to analyze rates calculated by the SEER\*Stat software. Enables the user to test whether an apparent change in trend is statistically significant. Two versions of Joinpoint software are available: desktop version (for a PC) and command-line version (for use in batch mode or called from other software, such as SAS or R)."
resource	5196356e-f7bd-5d3e-a4cf-c8e731479577	r4r_0091	SampleMap	SampleMap is a TumorMap version built for The Cancer Genome Atlas (TCGA) analysis that projects samples into a GoogleMap explorer to allow overlaying omics attributes to spot patterns quickly.	https://tumormap.ucsc.edu	Analysis Tools	Data Visualization	Cancer Omics	Basic;Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			SampleMap is a TumorMap version built for TCGA analysis that projects samples into a GoogleMap explorer to allow overlaying omics attributes to spot patterns quickly.
resource	b0c1eef2-a0dc-5490-8c65-0451364d1aa2	r4r_0092	ivyGlimpse	ivyGlimpse is a bioconductor-based interface to Ivy Glioblastoma Atlas Project (Ivy-GAP) data resources, allowing interactive selection of image features for scatterplotting, image sets for stratified survival distribution estimation, and gene sets for expression distribution comparison between strata.	https://vjcitn.shinyapps.io/ivyglimpse/	Datasets and Databases	Clinical Data;Imaging	Cancer Omics;Causes of Cancer	Basic;Translational	Open Access	Informatics Technology for Cancer Research (ITCR)			ivyGlimpse is a bioconductor-based interface to Ivy-GAP (glioblastoma.alleninstitute.org) data resources. This app introduces users to quantitative elements of the Ivy-GAP, and it allows interactive selection of image features for scatterplotting, image sets for stratified survival distribution estimation, and gene sets for expression distribution comparison between strata.
resource	febffd9d-f163-5208-9549-008a3fcc8ca0	r4r_0093	AIDS Antiviral Screen Data	This resource provides access to results and chemical structural data on compounds checked by the Developmental Therapeutics Program (DTP) AIDS Antiviral Screen.	https://wiki.nci.nih.gov/display/NCIDTPdata/AIDS+Antiviral+Screen+Data	Datasets and Databases;Lab Tools	Biospecimen;Clinical Data	Cancer Treatment;Screening and Detection	Basic;Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			The DTP AIDS Antiviral Screen has checked tens of thousands of compounds for evidence of anti-HIV activity. Screening results and chemical structural data on compounds that are not covered by a confidentiality agreement are available.
resource	34a0622c-8fe1-5d05-b410-6e78d13d7ed3	r4r_0094	Chemical Data	Compound sensitivity data for the NCI60 screen and similar screens run on sarcoma cell lines and small cell lung cancer cell lines, plus molecular target characterization data for the NCI60, sarcoma,and SCLC cell lines.	https://wiki.nci.nih.gov/display/NCIDTPdata/Chemical+Data	Datasets and Databases	Clinical Data	Cancer Treatment;Screening and Detection	Basic;Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			Compound sensitivity data for the NCI60 screen and similar screens run on sarcoma cell lines and small cell lung cancer cell lines, plus molecular target characterization data for the NCI60, sarcoma, and SCLC cell lines.
resource	f293c97f-23f1-591a-88c3-5b469f1b0329	r4r_0095	Compound Sets	Compound sensitivity data for the NCI60 screen and similar screens run on sarcoma cell lines and small cell lung cancer cell lines, plus molecular target characterization data for the NCI60, sarcoma, and SCLC cell lines.	https://wiki.nci.nih.gov/display/NCIDTPdata/Compound+Sets	Datasets and Databases	Clinical Data	Cancer Treatment;Screening and Detection	Basic;Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			Compound sensitivity data for the NCI60 screen and similar screens run on sarcoma cell lines and small cell lung cancer cell lines, plus molecular target characterization data for the NCI60, sarcoma, and SCLC cell lines.
resource	ad0d2e34-5228-58b2-99b0-c320f87a4a3d	r4r_0096	In Vivo Antitumor Assays	For approximately 30 years, the NCI used in vivo animal tumor models to screen compounds for potential antitumor activity. A detailed description of these models was published in Cancer Chemotherapy Reports Part 3, Vol. 3 No. 2, September 1972.	https://wiki.nci.nih.gov/display/NCIDTPdata/In+Vivo+Antitumor+Assays	Lab Tools	Assays	Cancer Treatment;Screening and Detection	Basic;Clinical Trials	Open Access	Division of Cancer Treatment & Diagnosis (DCTD)			For approximately 30 years, the NCI used in vivo animal tumor models to screen compounds for potential antitumor activity. A detailed description of these models was published in Cancer Chemotherapy Reports Part 3, Vol. 3 No. 2, September 1972.
