dataset_title,description,dbGaP_phs,dbGaP_URL,PI_name,GPA,dataset_doc,dataset_pmid,funding_source,release_date,limitations_for_reuse,assay_method,study_type,primary_disease,participant_count,sample_count,study_links,related_genes,related_diseases,related_terms
Clinical and Molecular Features of Acquired Resistance to Immunotherapy    in Non-Small Cell Lung Cancer,"PD-(L)1 blockade has been shown to promote durable responses in non-small cell lung cancer (NSCLC) patients and has been rapidly incorporated into the treatment regimens for many with advanced disease.  Despite this, mechanisms of acquired resistance (AR) to PD-(L)1 have not been well understood. To address the clinical and molecular landscape of AR",phs002834.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002834,Matthew Hellmann,Freddie Pruitt,Center for Cancer Genomics (CCG),"29658856;27718847;34487855;30498383;28031159;28789707;28228279;29025772;31201935;26883990;28596308;29070816;27433843;27912061;31398344;32916126;29578107;23323831;32483290;33558725;27667683;26952546;29107330;29625050;29934517;25754329;30388456;25765070;32271377;33199494;27158780;29773717;23945592;29695832;29056346;31898484;26645196;14525967;29296022;37001526;27350335;32917656;33979178;34385708;29370992;30936194;23079694;23104886;25822800;32289269;33055240;25605792;21546393;31340985;19451168;21478889;32461654;25703262;30778252;24633410;27270079;30371878;16199517;22455463;25786235;22728672;18463140;30357391;2231712;29132144;24695404;31408414;30783653;27855702;33137190;22388286;33590861;18798982;33270111;20679213;31810882;No PMID: 458 First phase 2 results of autologous tumor-infiltrating lymphocyte (TIL; LN-145) monotherapy in patients with advanced, immune checkpoint inhibitor-treated, non-small cell lung cancer (NSCLC). | Schoenfeld A, Lee S, Paz-Ares L, Doger B, Gettinger S, Haefliger S, et al.;37079675",Grant CI-98-18;Support grant/core grant P30 CA008748;Lung Cancer Dream Team Translational research grant SU2C-AACR-DT17-15;Grant # 19-029 MIA,2024-03-13,HMB,WXS,Case Set,Immune Checkpoint Inhibitors,29.0,57.0,,,"Immunotherapy;Carcinoma, Non-Small-Cell Lung","Carcinoma, Non Small Cell Lung; Carcinoma, Non-Small Cell Lung; Carcinoma, Non-Small-Cell Lung; Carcinomas, Non-Small-Cell Lung; Lung Carcinoma, Non-Small-Cell; Lung Carcinomas, Non-Small-Cell"
Genome-Wide Association Study of Genetic Susceptibility for Graft-vs-Host    Disease Cohort 1,"Allogeneic hematopoietic stem cell transplantation (Allo-HSCT) is the only curative therapy for many advanced hematologic malignancies. Allo-HSCT is associated with significant morbidities and mortality, mainly because of the graft-versus-host disease  (GVHD) caused by donor T cells recognizing antigens present in recipient tissues, and initiating an alloimmune response resulting in damage to many",phs002185.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002185,"Vahid Afshar-Khargan, MD",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),,"R01CA231141;X01HG007923;HHSN268201700006I, NIH contract ""High throughput genotyping for studying the genetic contributions to human disease""",2024-03-13,NRUP;DS-HCTCT-GSO,Array_SNP_CNV;Imputation_SNP_CNV,Cohort,Graft vs Host Disease,9408.0,9518.0,,,"Leukemia, Myeloid, Acute;Precursor Cell Lymphoblastic Leukemia-Lymphoma;Myelodysplastic-Myeloproliferative Diseases","Myelodysplastic-Myeloproliferative Diseases; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Disease, Graft-Versus-Host; Disease, Graft-vs-Host; Disease, Homologous Wasting; Disease, Runt"
Genomic Analysis of Prostate Tumor Heterogeneity in Metastasis,"To investigate the molecular changes, mutations, and signaling pathways that characterize the initial steps of prostate cancer metastasis to the lymph nodes, we analyzed 19 discrete lymph node (LN) metastases,  97 primary tumor foci, 39 benign lymph nodes, and 10 normal adjacent prostate tissue samples from 43 patients enrolled in a clinical trial",phs003404.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003404,"Carlos S. Moreno, PhD",Freddie Pruitt,Center for Cancer Genomics (CCG),38067373,R21-CA256375,2024-03-12,GRU,RNA-Seq;Seq_DNA_SNP_MAF_Ind;WXS;Seq_DNA_SNP_CNV,Tumor vs. Matched-Normal,Prostatic Neoplasms,43.0,302.0,https://doi.org/10.3390/cancers15235671,SPOP;TP53;EYA1;CSMD3;FLT4;NCOR2;PCDH15,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
A Cohort Study to Evaluate Genetic Predictors of Aromatase Inhibitor    Musculoskeletal Symptoms (AIMSS),Aromatase Inhibitor-Associated Musculoskeletal Symptoms (AIMSS) are common and frequently lead to Aromatase Inhibitor (AI) discontinuation. Single nucleotide polymorphisms (SNPs) in candidate genes have been associated with AIMSS and AI discontinuation.  E1Z11 is a prospective cohort study designed to validate associations between 10 SNPs and AI discontinuation due to AIMSS. We enrolled postmenopausal,phs003517.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003517,Vered Stearns,Freddie Pruitt,Center for Cancer Genomics (CCG),,,2024-03-07,GRU,Array_SNP,Case-Control;Clinical Cohort;Genotype;Multicenter,Musculoskeletal System,970.0,970.0,https://clinicaltrials.gov/study/NCT01824836,CYP19A1;ESR1;HTR2A;TCL1A,,Not Provided
A Missense SNP in the Tumor Suppressor SETD2 Reduces H3K36me3 and Mitotic    Spindle Integrity in Drosophila,"While examining DNA from renal cell carcinoma (RCC) patients we observed a single nucleotide polymorphism (SNP; rs58906143,chr3:47163422 C&#x02192;G (hg19); E902Q ) within SETD2 that was overrepresented in kidney cancer patients  compared to control patients. This original study utilized directed sequencing of 14 genes. In an expanded study using a Taqman assay to study the",phs003474.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003474,"Rebecca S. Arnold, PhD;Dorothy A. Lerit,  PhD",Freddie Pruitt,Center for Cancer Genomics (CCG),,W81XW1910859;BX003367-01;5K12GM000680;5K99GM143517;R01GM138544;RSG-22-874157-01-CCB;UL1TR002378,2024-03-05,GRU,PCR_DNA_SNP;Targeted-Capture,Case-Control,Kidney Neoplasms,758.0,758.0,,SETD2,,Kidney Tumor; Kidney cancer; Kidney neoplasm; Neoplasia of the kidneys; Neoplasm of Kidney; Neoplasm of the Kidney
Nivolumab and Tumor Infiltrating Lymphocytes (TIL) in Advanced Non-Small    Cell Lung Cancer,"We performed a trial of adoptive cell therapy using tumor infiltrating lymphocytes (TIL) in metastatic non-small cell lung cancer (NSCLC). We conducted a single-arm open- label phase 1 trial (NCT03215810)  of TIL administered with nivolumab in 20 patients with advanced NSCLC. Patients had tumor metastases resected for TIL, and the sequencing data from",phs002486.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002486,"Ben Creelan, MD",Joseph Flores-Toro,Office of Data Sharing (ODS),34385708,SU2C-AACR-CT04-17,2024-03-01,HMB-PUB-NPU,RNA-Seq;WXS,Clinical Trial;Interventional;Sequencing;Transcriptome Sequencing;Tumor vs. Matched-Normal,"Carcinoma, Non-Small-Cell Lung",20.0,103.0,https://progress.standuptocancer.org/trials/lung-immunotherapy,ALKAL1;CCDC6;CD74;CREM;EGFR;EML4;EWSR1;KRAS;PIK3CA;RET;ROS1;TRB,"Adenocarcinoma of Lung;Carcinoma, Squamous Cell;Immunotherapy, Adoptive;Lymphocytes, Tumor-Infiltrating;organ-specific neoantigen","ADENOCARCINOMA OF LUNG; Adenocarcinoma of lung, somatic; Adenocarcinoma of the Lung; Adenocarcinoma, Lung; Adenocarcinomas, Lung; Lung Adenocarcinoma"
A Human Lymphoma Organoid Model for Evaluating and Targeting the    Follicular Lymphoma Tumor Immune Microenvironment,"Heterogeneity in the tumor microenvironment (TME) of follicular lymphoma (FL) can affect clinical outcomes. We developed a new organoid culture method for cultivating patient-derived lymphoma organoids (PDLOs), which include cells  from the native FL TME. We generated organoids from 12 FL patients at diagnosis, clinical progression, or relapse. These organoids were profiled with",phs003410.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003410,Ash A. Alizadeh;Lisa E. Wagar,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),,U54CA217378;P30AR075047,2024-02-29,DS-HLCA-IRB-PUB-COL,RNA-Seq;Seq_Read_Counts;Targeted-Capture,Case Set,"Lymphoma, Follicular",12.0,127.0,,,Organoids,"Brill - Symmers' disease; Brill Symmers Disease; Brill-Symmers Disease; Disease, Brill-Symmers; FOLLICULAR LYMPHOMA, SOMATIC; Follicle Center Lymphoma"
Acquired Cross-Resistance in Small Cell Lung Cancer Patient-Derived    Xenografts,"Here we present whole genome sequencing and RNA sequencing of patient-derived xenograft (PDX) models of small cell lung cancer (SCLC). These models were derived at a variety of clinical time  points from either biopsy/resection samples, malignant effusions, or circulating tumor cells (CTCs), and grown in the subcutaneous flank of NSG",phs003486.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003486,"Benjamin J. Drapkin, MD, PhD;Sihan Wu, PhD;Michael S. Lawrence, PhD;Nicholas J. Dyson, PhD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),37425738,U01CA220323;RR20007,2024-02-12,GRU,Seq_DNA_SNP_CNV;WGS;RNA-Seq;WXS;Seq_RNA_Expression,Xenograft,Small Cell Lung Carcinoma,42.0,133.0,,MYC;MYCL;MYCN,Chemoradiotherapy;DNA Damage,DNA Damage; DNA Injuries; DNA Injury; DNA Lesion; DNA Lesions; Deoxyribonucleic acid damage
Circulating Genomic Determinants of Treatment Failure in Hodgkin Lymphoma,"In this study, we show that the plasma representation of mutations exceeds the bulk tumor representation in most cases, making classic Hodgkin Lymphoma (cHL) particularly amenable to noninvasive profiling. Leveraging  single-cell transcriptional profiles of cHL tumors, we demonstrate hazard ratios (HRs) circulating tumor DNA (ctDNA) shedding to be shaped by",phs003435.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003435,"Ash A. Alizadeh, MD. PhD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),38081297,,2024-02-12,DS-LYM-IRB-PUB-COL,RNA-Seq;Seq_RNA_Expression;WXS;Targeted-Capture,Case-Control;Sequencing,Hodgkin Disease,445.0,1281.0,,DNASE1L3;IL4R;IL13,Cell-Free Nucleic Acids;Circulating Tumor DNA,"CHL; Classic Hodgkin disease; Disease, Hodgkin; Disease, Hodgkin's; Disease, Hodgkins; Familial Hodgkin Disease"
University of Michigan Clinical Sequencing Exploratory Research (CSER),"Overview. The personalization of therapy for cancer will require molecular characterization of unique and shared genetic aberrations. In particular, patients who have a sarcoma or other rare cancers and are  candidates for clinical trials could potentially benefit by identifying eligibility for ""targeted"" drugs based on the ""actionable"" genes in their",phs000673.v5.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000673,"Arul Chinnaiyan, MD PhD",,,24185510;26325560;28783718,1UM1HG006508,2024-02-12,GRU,RNA-Seq;WXS;Targeted-Capture,Case Set,Neoplasms,1427.0,4403.0,,,Breast Neoplasms;Sarcoma;Prostatic Neoplasms;Aromatase Inhibitors;Hematologic Neoplasms,Sarcoma; Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors
The Multiethnic Cohort (MEC) Study,"The Multiethnic Cohort (MEC) study of over 215,000 men and women in Hawaii and California is unique in that it is population-based and includes large representations of older adults (45-75  years at baseline) for five US racial/ethnic groups (Japanese Americans, African Americans, European Americans, Latinos and Native Hawaiians) at",phs002183.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002183,"Lo&#239;c Le Marchand, PhD;Lynne Wilkens, DrPH;Christopher Haiman, PhD",,,10695593;10695594,"R01CA63464, X01HG010416 (R37CA54281,
  P01CA33619, U01CA136792, U01CA98758, U01CA164973);HHSN268201700006I, NIH contract ""High throughput genotyping
  and DNA sequencing for studying the genetic contributions to human health and
  disease""",2024-02-09,HMB-PUB;NRUP;DS-CA-PUB,Array_SNP_CNV,,Neoplasms,204248.0,34213.0,https://www.uhcancercenter.org/mec;https://www.uhcancercenter.org/mec-publications,,Dietary;Risk factors;Ethnic groups,Risk Factors; Blastoma; CA; CA - Cancer; Cancer; MT
MAESTRO-Pool Enables Highly Parallel and Specific Mutation-Enrichment    Sequencing for Minimal Residual Disease Detection in Cohort Studies,"MAESTRO-Pool builds upon the technology MAESTRO (Minor Allele Enriched Sequencing Through Recognition Oligonucleotides) by pooling tumor-specific MAESTRO probes from multiple patients and applying these to all samples from all patients.  In this study, MAESTRO-Pool was applied to a cohort of 9 melanoma patients where 98 plasma samples were screened for 22,333 mutations. Additionally,",phs003447.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003447,,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),38069911,,2024-02-08,DS-MSC-MDS,Seq_DNA_SNP_MAF_Sum;Targeted-Capture;WGS,Case Set;Individual-Level Genomic Data;Longitudinal;Methods Development;Sequencing;Tumor;Tumor vs. Matched-Normal;Whole Genome Sequencing,Melanoma,9.0,234.0,,,,"Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant; Melanomas"
A Phase I Study with a Personalized Neoantigen Cancer Vaccine in Melanoma,Effective anti-tumor immunity in humans has been associated with presence of T cells targeting neoantigens that arise from non-silent tumor-specific mutations. Here we conducted whole-exome sequencing of tumor and normal  cells from individual patients to identify mutations. We assessed the expression of mutated alleles by RNA-sequencing of tumor. We demonstrated the,phs001451.v5.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001451,Patrick Ott;Catherine J. Wu,Ian Fingerman,Division of Cancer Biology (DCB),28678778;34290406;35508657;34663921,5R01CA155010-02;5R01HL103532-03;2P50CA101942-11A1;R50-RCA211482A;Blavatnik Family Foundation;Francis and Adele Kittredge Family Immuno-Oncology and Melanoma Research Fund;Faircloth Family Research Fund;DFCI Center for Cancer Immunotherapy Research Fellowship;Leukemia and Lymphoma Society,2024-01-26,GRU,RNA-Seq;WXS;OTHER;WGS,Clinical Trial,Melanoma,12.0,132.0,,,,"Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant; Melanomas"
Gabriella Miller Kids First (GMKF) Pediatric Research Program in    Susceptibility to Ewing Sarcoma Based on Germline Risk and Familial    History of Cancer,"Ewing sarcoma (EWS) is a deadly bone cancer that occurs in children and adolescents. Mounting evidence suggests that a genetic predisposition exists for this pediatric cancer, although the specific genetic  contribution has yet to be identified. EWS has never been linked to a specific cancer predisposition syndrome, although several case reports have",phs001228.v2.p2,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001228,"Joshua D. Schiffman, MD",,,,,2024-01-26,GRU,,Parent-Offspring Trios,"Sarcoma, Ewing",1332.0,1505.0,https://commonfund.nih.gov/kidsfirst/X01Projects#Schiffman,,Neoplasms,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Genomic Analysis of Follicular Lymphoma,We included tumors from newly diagnosed or untreated follicular lymphoma in this study. Samples consented to the University of Iowa and Mayo Clinic Lymphoma Specialized Program of Research Excellence (SPORE)  were included for data sharing. RNA was extracted from 1) CD19 sorted B cells from tumor cell suspension frozen in dimethyl sulfoxide (DMSO; RNA,phs002989.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002989,Anne Novak,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),38428430,P50CA097274,2024-01-24,GRU,RNA-Seq;WXS,Case Set;Exome Sequencing;RNA Sequencing;Tumor vs. Matched-Normal,"Lymphoma, Follicular",117.0,430.0,,,,"Brill - Symmers' disease; Brill Symmers Disease; Brill-Symmers Disease; Disease, Brill-Symmers; FOLLICULAR LYMPHOMA, SOMATIC; Follicle Center Lymphoma"
Evolutionary Analysis of Chronic Lymphocytic Leukemia Cells During    Relapse After Allogeneic Hematopoietic Stem Cell Transplant,"We investigated the molecular dynamics driving relapse of chronic lymphocytic leukemia (CLL) following allogeneic hematopoietic stem cell transplant (allo-HSCT) through an integrated analysis of whole exome, bulk transcriptome, bulk methylome  and single cell transcriptional data from paired leukemic samples representing 19 patients. We found that their clinical kinetics corresponded to",phs001998.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001998,"Catherine Wu, MD",Ian Fingerman,Division of Cancer Biology (DCB),34663921,1R01CA155010;P01CA206978;U10CA180861,2024-01-24,DS-HM-MDS;GRU,RNA-Seq;WXS;Bisulfite-Seq;OTHER,Case Set;Longitudinal,"Leukemia, Lymphocytic, Chronic, B-Cell",19.0,40.0,,,"Transplantation, Homologous","B Cell CLL; B Cell Chronic Lymphocytic Leukemia; B Cell Leukemia, Chronic; B Cell Lymphocytic Leukemia; B Cell Malignancy, Low Grade; B Lymphocytic Leukemia, Chronic"
Profiling RNA Translation in Pediatric Medulloblastoma,This study provides RNA-sequencing and ribosome profiling data for patient-derived cell lines and patient tissue samples for children with medulloblastoma. Ribosome profiling is a variant protocol of RNA-sequencing that directly  sequences ribosome-bound RNA fragments only. Associated RNA-seq and Ribo-seq data obtained separately for some cancer cell lines can be found on the,phs003446.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003446,John Prensner,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),37205492;28579404;32601440,,2024-01-18,HMB,RNA-Seq;OTHER,RNA Sequencing,Medulloblastoma,21.0,57.0,,,Ribosome Profiling;Open Reading Frames,"Arachnoidal Cerebellar Sarcoma, Circumscribed; Circumscribed arachnoidal cerebellar sarcoma; Desmoplastic Medulloblastomas; Desmoplastic Nodular Medulloblastoma; Desmoplastic medulloblastoma; Medulloblastoma, Desmoplastic"
The Institute for Genomic Medicine at Nationwide Children's Hospital    Pediatric Cancer and Blood Disorder Project,"The aim of this study is to enable the unification of the clinical and research arms of comprehensive genomic profiling in the setting of cancer and hematologic disease. Increasingly, studies  of the genomic etiology of cancer and hematologic diseases are being utilized for patient management, including prognostication, informing diagnosis,",phs001820.v3.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001820,Catherine Cottrell,,,31949013;31271967;31626289;29434027,Nationwide Foundation Pediatric Innovation Fund,2024-01-18,GRU-NPU;NRUP,WGA;WGS;RNA-Seq;Seq_DNA_SNP;Seq_RNA_Expression;WXS;FL-cDNA,Cohort,Neoplasms,261.0,1088.0,https://www.nationwidechildrens.org/specialties/institute-for-genomic-medicine,,Brain Neoplasms;Carcinoma;Hematologic Diseases;Hematologic Neoplasms,Hematologic Diseases; Brain Neoplasms; Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour
GATA2 Deficiency and the MonoMAC Syndrome,"The aim of this study was to identify the germline mutation(s) in an extended family with individuals having MonoMAC Syndrome/GATA2 deficiency but lacking a canonical GATA2 mutation. GATA2 deficiency patients  develop bone marrow failure, severe immunodeficiency and may progress to myeloid malignancies, including myelodysplastic syndrome (MDS), acute",phs003269.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003269,"Dennis Hickstein, MD;Steven Holland, MD",Kathleen Calzone,Center for Cancer Research (CCR),34529785;36455197;24077845;29412158,,2024-01-17,GRU,WGA;Seq_DNA_SNP_CNV,Case-Cohort;Family;Pedigree Whole Genome Sequencing;Whole Genome Sequencing,Bone Marrow Failure Disorders,6.0,6.0,https://clinicaltrials.gov/ct2/show/NCT01861106;https://clinicaltrials.gov/ct2/show/NCT01905826,GATA2,Congenital Bone Marrow Failure Syndromes;Bone Marrow Transplantation,"Bone Marrow Transplantation; Congenital Bone Marrow Failure Syndromes; Bone Marrow Failure; Bone marrow hypoplasia; Failure, Bone Marrow; Hypoplastic bone marrow"
Overcoming Clinical Resistance to EZH2 Inhibition Using Rational    Epigenetic Combination Therapy,"Essential epigenetic dependencies have become evident in many cancers. Based on functional antagonism between BAF/SWI/SNF and PRC2 in SMARCB1-deficient sarcomas, we and colleagues recently completed the clinical trial of the  EZH2 inhibitor tazemetostat, leading to its FDA approval. However, the principles of tumor response to epigenetic therapy in general and tazemetostat",phs003188.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003188,Alex Kentsis,Ian Fingerman,Division of Cancer Biology (DCB),,,2024-01-17,HMB,RNA-Seq,Clinical Cohort;Clinical Trial;Epigenetics;Marker Discovery;RNA Sequencing;Transcriptome Analysis,"Drug Resistance, Neoplasm",11.0,17.0,,EZH2;SMARCB1,"Epigenomics;EZH2 protein, human;Tazemetostat",Not Provided
A Phase III Randomized Study of Nivolumab Plus Ipilimumab Versus    Nivolumab in Stage IV Squamous Cell Lung Cancer,"Lung-MAP (S1400, NCT02785952) was a multicenter, open-label, phase III randomized clinical trial. The Lung-MAP-I substudy (S1400I) was conducted from December 2015 to April 2018, through the National Clinical Trials Network  and led by the SWOG Cancer Research Network. The trial compared nivolumab plus ipilimumab (nivo+ipi) with nivolumab monotherapy (nivo) in patients",phs003412.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003412,Scott Gettinger;Roy Herbst;Lyudmila Bazhenova,Freddie Pruitt,Center for Cancer Genomics (CCG),38277235,U24CA224285;U24CA224319;U24CA224316;U10CA180888;U10CA180819,2024-01-11,GRU,,Controlled Trial,"Carcinoma, Non-Small-Cell Lung",160.0,731.0,,CSF-1;CXCL13;IL-6;IL-8;LAMP3;LRP1B;MMP12,Immune Checkpoint Inhibitors,"Carcinoma, Non Small Cell Lung; Carcinoma, Non-Small Cell Lung; Carcinomas, Non-Small-Cell Lung; Lung Carcinoma, Non-Small-Cell; Lung Carcinomas, Non-Small-Cell; NONSMALL CELL LUNG CANCER"
"HTAN Pilot Project: Single-Cell Transcriptomics Toolbox for Fresh and    Frozen Human Tumors (Lung, Breast, Ovarian, Melanoma, Neuroblastoma,    Sarcoma, Glioblastoma, Glioma, and Leukemia)","Single cell transcriptomics is a powerful tool to map the complex tumor microenvironment, providing unprecedented resolution into cell types, cell states, cell interactions, and tumor heterogeneity. Depending on their tissue  site and whether processing begins from a fresh or frozen sample, different tumors require different optimizations in order to obtain high quality",phs001983.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001983,"Aviv Regev, PhD;Orit Rozenblatt-Rosen, PhD;Asaf Rotem, PhD;Bruce E. Johnson, MD;Nikhil Wagle, MD;Ursula A. Matulonis, MD;Natalie B. Collins, MD, PhD;Michael A. Dyer, PhD;Michael R. Clay, MD;Elizabeth H. Stover, MD, PhD;Raphael Bueno, MD;Mario L. Suva, MD, PhD;Suzanne J. Baker, PhD;Aaron N. Hata, MD, PhD;Charles H. Yoon, MD, PhD, FACS;F. Stephen Hodi, MD;Rizwan Haq, MD, PhD;Benjamin Izar, MD, PhD;Catherine J. Wu, MD;Peter J. Tramontozzi, BS;Lan Nguyen, BS;Satyen H. Gohil, PhD, MB;Avinash Waghray, PhD;Masashi Nomura, MD, PhD;Simon Gritsch, MD, PhD;Asa Karlstrom, PhD;Anand G. Patel, MD, PhD;Mei-Ju Su, MS;Sara Napolitano, BS;Judit Jane-Valbuena, PhD;Sebastien Vigneau, PhD;Danielle Dionne, BS;Jingyi Wu, BS;Isaac Wakiro, BS;Eugene Drokhlyansky, PhD;Julia Waldman, BS;Michal Slyper, PhD;Bo Li, PhD;Matan Hofree, PhD;Joshua Gould, MS;Yanay Rosen, BS;Johanna Klughammer, PhD;Ofir Cohen, PhD;Livnat Jerby-Arnon, PhD;Alexander M. Tsankov, PhD;Timothy L. Tickle, PhD;Gabriela Smith-Rosario, BS;Christopher Smillie, PhD;Orr Ashenberg, PhD;Caroline B. M. Porter, PhD",Freddie Pruitt,Center for Cancer Genomics (CCG),32405060,Task Order No. HHSN261100039 under Contract No. HHSN261201500003I,2024-01-10,DS-CA-MDS;HMB;GRU,RNA-Seq,Case Set,"Carcinoma, Non-Small-Cell Lung",23.0,40.0,https://humantumoratlas.org/hta1/;https://tumor-toolbox.broadinstitute.org;https://github.com/klarman-cell-observatory/HTAPP-Pipelines;https://github.com/klarman-cell-observatory/Cumulus,,"Neuroblastoma;Breast Neoplasm;Glioblastoma;Glioma;Leukemia, Lymphoid;Ovarian Neoplasms;Melanoma;Sarcoma","Leukemia, Lymphoid; Sarcoma; Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor"
Genomic Characterization CS-MATCH-0007 Arm S2,The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).,phs002178.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002178,"Lyndsay Harris, MD",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),33048619;31922567;37053535;37322121,Division of Cancer Treatment and Diagnosis,2024-01-08,GRU-COL,,Cohort;Exome Sequencing;RNA Sequencing,Neoplasms,3.0,3.0,https://www.cancer.gov/about-cancer/treatment/clinical-trials/nci-supported/nci-match,GNA11;GNAQ,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Genomic Characterization CS-MATCH-0007 Arm S1,The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).,phs002153.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002153,"Lyndsay Harris, MD",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),33048619;31922567;37053535;37322121,Division of Cancer Treatment and Diagnosis,2024-01-08,GRU-COL,,Cohort;Exome Sequencing;RNA Sequencing,Neoplasms,41.0,41.0,https://www.cancer.gov/about-cancer/treatment/clinical-trials/nci-supported/nci-match,NF1,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Genomic Characterization CS-MATCH-0007 Arm Z1I,The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).,phs002058.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002058,"Lyndsay Harris, MD",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),33048619;31922567;37322121,Division of Cancer Treatment and Diagnosis,2024-01-08,GRU-COL,,Cohort;Exome Sequencing;RNA Sequencing,Neoplasms,26.0,26.0,https://www.cancer.gov/about-cancer/treatment/clinical-trials/nci-supported/nci-match,BRCA1;BRCA2,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
