type	dataset_uuid	dataset_source_repo	dataset_title	description	dataset_source_id	dataset_source_url	PI_name	GPA	dataset_doc	dataset_pmid	funding_source	release_date	limitations_for_reuse	assay_method	study_type	primary_disease	participant_count	sample_count	study_links	related_genes	related_diseases	related_terms
dataset	07e7e718-1ffa-4856-8ee5-c4226b8ab6e6	dbGaP	Cellular and Molecular Characterization of Renal Cell Carcinoma	<p>We are performing a comprehensive cellular and molecular characterization of renal cell carcinoma. This work includes an initial cohort of patients whose tumors (and adjacent normal tissue) underwent single cell analysis. Single-cell RNA sequencing (scRNA-seq) and TCR sequencing (scTCR-seq) analysis of untreated clear cell renal cell carcinoma tumor and adjacent normal tissue was performed across disease stages. This initial cohort includes 13 patients: 4 with early stage disease (stage I/II), 4 with locally advanced disease (stage III), and 5 with advanced/metastatic disease (stage IV). Whole exome sequencing on tumor and normal tissue was also performed.&#160; </p>	phs002252	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002252	Catherine J. Wu, MD	Tamara Walton	Division of Cancer Treatment and Diagnosis (DCTD)		P50 CA101942-14	3/11/2021	DS-RCCA-MDS	WXS;OTHER	Cohort;Tumor vs. Matched-Normal	Carcinoma, Renal Cell	13.0	53.0			Kidney Neoplasms	Kidney Neoplasms;ADENOCARCINOMA OF KIDNEY;Adenocarcinoma Of Kidneys;Adenocarcinoma of the Kidney;Adenocarcinoma, Renal;Adenocarcinoma, Renal Cell
dataset	34918880-6f57-4792-9c43-bd9a56a147c9	dbGaP	Optimized Polyepitope Neoantigen DNA Vaccines Elicit Neoantigen-Specific Immune Responses in Preclinical Models and in Clinical Translation	<p>A patient with Lynch syndrome and a neuroendocrine tumor sequenced with exome, whole genome, and bulk RNAseq. Sequence data was used to create a personalized cancer vaccine. <br> </p>	phs002342	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002342	William Gillanders, MD	Tamara Walton	Division of Cancer Treatment and Diagnosis (DCTD)			3/9/2021	GRU	RNA-Seq;WXS;WGS	Individual-Level Genomic Data	Carcinoma, Neuroendocrine	1.0	5.0			Cancer Vaccines	
dataset	96db284e-b8db-4683-9bc1-86a01e055420	dbGaP	Dana-Farber Cancer Institute (DFCI) Wu Lab/Avicenne CLL RNA-Seq Study	<p>Chronic Lymphocytic Leukemia (CLL) is a hematological malignancy characterized by accumulation of CD5+ B cells in peripheral lymphoid organs, bone marrow and blood. Recently, the advent of large-scale whole-exome sequencing of hundreds of CLL samples has led to gain a comprehensive understanding of the mutational landscape of this clonal B cell malignancy, but the functional effects of the putative driver mutations thus discovered are largely unknown. In this study, we analyze RNA-seq data from CLL patients to characterize dysregulated biological pathways regarding the presence of recurrent mutations.<div></div><div><br></div><div>Source of tumor is patients' PBMC isolated from peripheral blood using the Ficoll method. Purity was confirmed using flow cytometry flow (&gt;80% in all cases).</div><div><br></div> </p>	phs002335	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002335	Catherine J. Wu	Tamara Walton	Division of Cancer Treatment and Diagnosis (DCTD)			3/9/2021	HMB-NPU-MDS	RNA-Seq	Cohort	Leukemia	12.0	14.0		IKZF3	Lymphocytic;Chronic;B-Cell	Blood (Leukemia);Blood cancer;Leucocythaemia;Leucocythaemias;Leucocythemia;Leucocythemias
dataset	a8d747b6-06cd-466c-a394-8801cf136c52	dbGaP	Genetic Determinants of EGFR-Driven Lung Cancer Growth and Therapeutic Response In Vivo	<p>Oncogenic alterations in EGFR frequently co-occur with additional genetic alterations in EGFR-driven lung adenocarcinoma (LUAD), but how specific combinations of mutations affect tumor phenotypes and responses to targeted therapy is yet unknown. We leveraged a genetically engineered mouse model of <a href='https://www.ncbi.nlm.nih.gov/gene/1956'>EGFR</a> mutant/<a href='https://www.ncbi.nlm.nih.gov/gene/22059'>Trp53</a>-deficient LUAD to study the consequences of inactivating 10 different tumor suppressor genes on the fitness and tyorosine kinase inhibitor (TKI) sensitivity of these tumors. We found that loss of <a href='https://www.ncbi.nlm.nih.gov/gene/50868'>Keap1</a> is associated with a reduced response to therapy. In patients, we found that mutations in the  <a href='https://www.ncbi.nlm.nih.gov/gene/9817'>KEAP1</a>/<a href='https://www.ncbi.nlm.nih.gov/gene/4780'>NFE2L2</a>/<a href='https://www.ncbi.nlm.nih.gov/gene/8452'>CUL3</a> pathway are associated with a significantly shorter time to treatment failure for EGFR TKI therapy compared to matched patients with wild-type KEAP1/NFE2L2/CUL3 tumors. We also analyzed whole exome sequencing data from tumor specimens before TKI treatment and at the time of treatment resistance for mutations in the KEAP1 pathway and these data are being submitted here.&nbsp;&nbsp; </p>	phs002334	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002334	Katerina Politi, PhD;Monte Winslow, PhD	Tamara Walton	Division of Cancer Treatment and Diagnosis (DCTD)	33707235	P50 CA196530;R01 CA231253;R01 CA234349;R01 CA120247;F31 CA203488;F32 CA210516	3/9/2021	DS-LCTC-MDS	WXS	Cohort	Adenocarcinoma of Lung	29.0	78.0		EGFR;KEAP1		ADENOCARCINOMA OF LUNG;Adenocarcinoma of lung, somatic;Adenocarcinoma of the Lung;Adenocarcinoma, Lung;Adenocarcinomas, Lung;Lung Adenocarcinoma
dataset	f7bee753-7b2e-4be9-a0c2-bd4c1e4a5b68	dbGaP	Comprehensive Analysis of Structural Variants in Breast Cancer Genomes Using Single Molecule Sequencing	<p>This study used the SKBR3 breast cell line and tumor/normal organoids derived from breast tissue to explore the utility of long read sequencing for detecting structural variants in complex samples. Three technologies were used to characterize the samples: Illumina/10X, Pacific Biosciences, and Oxford Nanopore. Methylation results were derived from the Oxford Nanopore data.&#160;</p><p>It is hoped that this resource will better help researchers better understand the utility of long read sequencing in cancer samples.</p><p><br></p>	phs002210	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002210	Michael Schatz	Brandon Wright	Office of Data Sharing (ODS)	32887686	DBI-135004;R01- HG006677;R21-CA220411;5P30CA045508;1R01HG009190;Bill and Melinda Gates Foundation	3/5/2021	GRU-IRB	Seq_DNA_SV;WGS	Case Set	Breast Neoplasms	2.0	7.0				Breast Cancer;Breast Malignant Neoplasm;Breast Malignant Neoplasms;Breast Malignant Tumor;Breast Malignant Tumors;CA - Breast cancer
dataset	eca3f38e-09a6-44b9-b1a4-4be4aa57089e	dbGaP	Integrative Somatic and Germline Molecular Characterization of Genitourinary Cancers	<p>We have performed integrative bulk (whole exome sequencing of tumor and normal paired and whole transcriptome sequencing) and single cell analysis of primary and metastatic non-prostate genitourinary cancer specimens, such as renal and bladder tumors.</p>	phs002065	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002065	Eliezer M. Van Allen, MD				R37 CA222574;R01 CA227388	3/5/2021	HMB	RNA-Seq;WXS	Case-Control;Tumor vs. Matched-Normal	Urinary Bladder Neoplasms	8.0	18.0			Kidney Neoplasms	Bladder Neoplasms;Kidney Neoplasms;Bladder Cancer;Bladder Cancers;Cancer of Bladder;Cancer of the Bladder
dataset	18caefc9-0512-49f1-8c3a-a4480c391323	dbGaP	Evolution of Core Archetypal Phenotypes in High-Grade Serous Ovarian Cancer (HGSOC)	<div>The evolution of resistance in high-grade serous ovarian cancer (HGSOC) cells in response to chemotherapy is only partially understood. To uncover phenotypic changes associated with chemotherapy resistance, we performed single-cell RNA-sequencing (scRNA-seq) or whole-genome sequencing of 23 total patients, with longitudinal samples collected from 9, treatment-na&#239;ve samples from 8 patients, and post-treatment samples from 6 patients.</div><div></div><div>Our study revealed that the HGSOC transcriptome could be described using three core archetypal phenotypes, defined as oncogenic tasks that describe majority of the transcriptional data. We implemented a multi-task learning approach to identify the biological tasks of each archetype and identified metabolism and proliferation, cellular defense response, and DNA repair signaling. The &#8220;metabolism and proliferation&#8221; archetype evolved during treatment and was enriched in cancer cells from patients that received multiple-lines of treatment and had elevated tumor burden indicated by CA-125 levels. The emergence of archetypes was not consistently linked to specific whole-genome driver mutations.  However, archetypes were closely associated with sub-clonal clusters at the single-cell level, indicating that cancer cell sub-populations specialize in particular biological tasks. Our study reveals a defining principle of ovarian tumor evolution using temporal scRNA-seq profiles, identifies the key phenotypic features across patients and links metabolic shifts with a response to chemotherapy.</div><div><br></div>	phs002294	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002294	Andrea Bild, PhD	Shannon Hughes	Division of Cancer Biology (DCB)		U54CA209978;US Army Medical Research and Development Command grant DAMD17-01-1-0729	3/4/2021	GRU	OTHER;WGS	Longitudinal	Ovarian Neoplasms	23.0	72.0			Carcinoma, Ovarian Epithelial;Drug Resistance, Neoplasm	Carcinoma, Ovarian Epithelial;Cancer, Epithelial Ovarian;Cancer, Ovarian Epithelial;Carcinoma of Ovary;Carcinoma of the Ovary;Carcinoma, Epithelial Ovarian
dataset	c0515fb4-81af-4460-a2bc-4001a4e6cc42	dbGaP	National Cancer Institute Clinical and Laboratory Analysis of Familial Cancer	<p>The purpose of this study is to continue the analysis begun on 09C0079 which was focused on identification of the genetic mutation associated with a new gastric polyposis syndrome, Gastric Adenocarcinoma and Proximal Polyposis of the Stomach (GAPPS). GAPPS, first described in 2012, is an autosomal dominant gastric polyposis syndrome that confers a substantial risk for gastric adenocarcinoma. The GAPPS phenotype consists of a carpeting of greater than 100 fundic gland polyps (FGPs) in the oxyntic mucosa of the gastric body and fundus, with antral sparing with some FGPs displaying high-grade dysplasia. This is in contrast to sporadic FGPs that are benign, most often are not associated with high-grade dysplasia though low-grade dysplasia has been reported, and are fewer in number. Gastric FGPs have been found to be associated with Familial Adenomatous Polyposis (FAP) and attenuated FAP, which is an autosomal dominant condition associated with germ line mutations in APC which confers a phenotype consisting of multiple (&gt;100) adenomatous polyps in the colon and rectum developing after the first decade of life. FGPs are reported to occur in 12-84% of patients with FAP, whereas sporadic FGPs are identified in ~5% of patients undergoing upper gastrointestinal endoscopy. Gastric adenocarcinoma arising from FGPs in individuals with FAP have been reported. Other manifestations of FAP and AFAP include polyps in the upper gastrointestinal tract, congenital hypertrophy of retinal pigment epithelium, osteomas and epidermoid cysts, supernumerary teeth, desmoid formation, and other malignancies such as thyroid, small bowel cancer, hepatoblastoma, and medulloblastoma. Thus far there are no reports in GAPPS of polyposis arising in the esophagus, gastric antrum, pylorus, small intestine, or colon.</p>	phs001935	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001935	Kathleen Calzone, PhD, RN, AGN-BC, FAAN	Kathleen Calzone	Center for Cancer Research (CCR)	27087319		3/3/2021	NRUP;GRU	WXS	Case Set	Stomach Neoplasms	12.0	12.0			Adenocarcinoma;Polyposis, Gastric	Adenocarcinoma;Polyposis, Gastric;ADNOS;Adenocarcinomas;Adenoma, Malignant;Adenomas, Malignant
dataset	0a04b7f9-fdc3-4f6c-94da-bbe20d070c94	dbGaP	Yale SPORE in Skin Cancer Project 2	<p>Understanding the relationship between tumor and peripheral immune environments could allow longitudinal immune monitoring in cancer. Here, we examined whether T cells that share the same TCRab and are found in both tumor and blood can be interrogated to gain insight into the ongoing tumor T cell response. Paired transcriptome and TCRab repertoire of circulating and tumor-infiltrating T cells were analyzed at the single cell level from matched tumor and blood from patients with metastatic melanoma. We found that in circulating T cells matching clonally expanded tumor-infiltrating T cells (circulating TILs), gene signatures of effector functions, but not terminal exhaustion, reflect those observed in the tumor. In contrast, features of exhaustion are displayed predominantly by tumor-exclusive T cells. Finally, genes associated with a high degree of blood-tumor TCR sharing were overexpressed in tumor tissue after immunotherapy. These data demonstrate that circulating TILs have unique transcriptional patterns that may have utility for the interrogation of T cell function in cancer immunotherapy. (Reprinted from Lucca et al. in press in <i>The Journal of Experimental Medicine</i>, with permission from Rockefeller University Press).</p><p>The data shared here consist of gene expression matrix and fastq files obtained from sequencing single-cell libraries generated with the Chromium (TM) 5' technique. For each of 2 immunotherapy naive and 11 previously treated melanoma patients, T cells (Live/<a href='https://www.ncbi.nlm.nih.gov/gene/5788'>CD45</a>+/TcRab+) were FACS-sorted from PBMCs and freshly resected tumors. Metadata associated with each individual cell consist of Patient I.D., biological sex, immunotherapy status, amino acid and nucleotide CDR3 sequence of the TCR alpha and beta chain (obtained from matched VDJ region enriched libraries), and sequencing batch. Further details about previous treatment history and other clinical parameters can be found in the associated manuscript.</p>	phs002289	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002289	David A. Hafler;Harriet M. Kluger	Tamara Walton	Division of Cancer Treatment and Diagnosis (DCTD)	33651881		2/26/2021	HMB	RNA-Seq;Seq_RNA_Expression	Single Cell Analysis	Single-Cell Analysis	13.0	50989.0	https://doi.org/10.1101/2020.09.30.321240	CD8A;CD74;GZMB;GZMK;IFNG;KLRD1;LAG3;LGALS1;CD99;PDCD1;HAVCR2	Tumor-infiltrating Lymphocytes;Receptors, Antigen, T Cell, alpha beta;Liquid biopsy	Not Provided
dataset	7937b28c-c6c2-4ba3-86a1-4042391b6592	dbGaP	Therapeutic Targeting of ATR Yields Durable Regressions in High Replication Stress Tumors	<p>Patients with relapsed or recurrent small cell lung cancer or extra-pulmonary small cell cancers were enrolled on an investigator-initiated, single-arm, phase 2 trial (NCT02487095) combining an ATR inhibitor M6620 (VX-970, berzosertib) administered at 210 mg/m2 intravenously over 60 minutes on day 2 and day 5, and topotecan 1.25 mg/m2 intravenously over 30 minutes every 23 hours on days 1 through 5, with a support of pegfilgrastim 6mg subcutaneously on day 6 in 21-day cycles. Tumor samples were collected either just before starting the treatment or before starting treatment prior to be enrolled in the trial. Whole exome and RNA were sequenced to evaluate genomic and transcriptomic characteristics associated with the response to the combination treatment. </p>	phs002327	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002327	Anish Thomas	Kathleen Calzone	Center for Cancer Research (CCR)			2/22/2021	GRU	Seq_DNA_SNP_MAF_Ind;Seq_RNA_SNP_MAF_Ind;RNA-Seq;WXS;Seq_RNA_Expression	Clinical Trial	Small Cell Lung Carcinoma	24.0	24.0	https://clinicaltrials.gov/ct2/show/NCT02487095	RNASEH2;ASCL1;RAD54L;CCNE1;INSM1;MYC;SOX2;SOX4;ARID1A;BEX1		Carcinoma, Small Cell Lung;Lung Small Cell Neuroendocrine Carcinoma;Lung oat cell carcinoma;Oat Cell Carcinoma of Lung;Oat Cell Lung Cancer;SCCL
dataset	2d409468-2500-4439-a90d-bcfd3830e814	dbGaP	ALCHEMIST Study	<p>The ALCHEMIST study will accrue patients that are potentially eligible for the Intergroup adjuvant studies and perform central EGFR and ALK genotyping using a central reference laboratory certified by the Clinical Laboratory Improvement Amendments of 1988 (CLIA). Patients may either present prior to surgery with resectable NSCLC, may present following complete resection (before or after adjuvant chemotherapy). Eligibility is limited to those with NSCLC of a non-squamous histological subtype and those with adequate performance status and organ function for future trial eligibility. All subjects must submit tissue for central EGFR and ALK genotyping, as well as additional tissue for advanced genomics at the CCG. Subjects may have had local genotyping done prior to registration, however if these results shows no targetable EGFR or ALK alterations (or if it shows a KRAS mutation) then the patient will not be eligible for this screening protocol given the primary aim is to facilitate accrual to the adjuvant studies. All subjects will provide peripheral blood for matched normal DNA.</p> <p>All subjects (including those known to have EGFR or ALK alterations with local genotyping) will have formalin-fixed tissue collected for central genotyping. The testing will be performed at Response Genetics (Los Angeles, CA), a commercial CLIA-certified laboratory. ALK FISH will be performed using the Vysis break-apart probe and EGFR sequencing will be performed of exons 18-21. It is preferred that a full tumor block be submitted, but if unavailable, 15 unstained slides can be submitted. Genotyping results are expected to be provided to the treating clinician within 14 business days of submission so they can be used to determine eligibility for the randomized adjuvant studies, or to confirm the local results. Results will also be reported at intervals to the study team for update into the Alliance database.</p> <p>In addition to the commercial genotyping at Response Genetics, tissue will be collected for research genomics by CCG. For those patients with a block available, this will be forwarded to the CCG after clinical testing at Response Genetics. For patients without a block available, 15 unstained slides should be submitted to the CCG BCR for exploratory analysis. A peripheral blood specimen will also be collected and sent to the CCG BCR to use as matched normal. Specimens will be coded. Over the course of the study, the CCG will perform advanced genomic analysis of the resected lung cancer specimens in a research, non-CLIA environment. Following completion of the genomic analysis, the results can be matched with the clinical follow-up results using a link between the samples codes and the patient identifiers for correlative analyses.</p> <p>Subjects participating in the follow-up portion of the ALCHEMIST study, as well as those participating in the adjuvant therapeutic studies, are expected to undergo a standard-of-care diagnostic biopsy to confirm recurrence. At least two core biopsies, minimum, should be obtained as part of this recurrence biopsy. Paraffin embedded tissue from this biopsy will be used for confirmation of recurrence, for CLIA genomics to plan subsequent clinical trials, and for additional research genomics by the CCG. Plasma will additionally be collected at recurrence and sent to CCG for study of circulating free DNA (cfDNA).</p> <p>Data for the ALCHEMIST study is not yet available to be accessed by the public at this time; when ready it will be made available at the GDC Data Portal.</p>	phs001140	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001140	David E. Kozono, MD, PhD					2/17/2021	GRU		Case Set	Carcinoma, Non-Small-Cell Lung	5731.0	5731.0				Carcinoma, Non Small Cell Lung;Carcinoma, Non-Small Cell Lung;Carcinomas, Non-Small-Cell Lung;Lung Carcinoma, Non-Small-Cell;Lung Carcinomas, Non-Small-Cell;NONSMALL CELL LUNG CANCER
dataset	6338deb6-ce28-4aed-88eb-26af54419782	dbGaP	Methylation Biomarker Study of Magnesium Deficiency and Colorectal Cancer	<p>Five US studies using the Mg tolerance test, the 'gold standard' test of Mg status, indicated that &gt;50% participants had Mg deficiency. In our ongoing US trial, we have found a similar result. In growing recognition of the importance of Mg in human health, very recently, Mg was selected by the US Federal Dietary Reference Intake (DRI) Committee to update the DRI. In US and other populations at high risk of Mg deficiency, high Mg intake has been linked to reduced risk of colorectal neoplasia, insulin resistance, metabolic syndrome, type 2 diabetes, and cardiovascular disease (CVD). Conversely, in populations not at high risk of Mg deficiency, high Mg intake has been related to increased risk of total mortality (e.g. total cancer, colorectal cancer, and CVD), particularly when calcium intake is low. These observations suggest that the associations between high Mg intake and disease risks may completely differ by the underlying Mg status. Due to major limitations, the Mg tolerance test is not used in conventional clinical practice and rarely used in research. Instead, serum Mg is used for clinical diagnosis. However, serum Mg performs very poorly at identifying those with Mg deficiency. There is a great need to develop implementable, sensitive, and specific biomarkers which can be easily used for identifying people with Mg deficiency. Without such a marker, it is impossible to develop effective strategies that minimize adverse effects by targeting those who, as a result of Mg deficiency, are at risk of common diseases. It is known that DNA methylation changes are inducible by environmental exposures, including nutrients, and reversible when the exposure disappears. There are two major types of cytosine modifications in DNA, 5-hydroxymethylcytosine (5-hmC) and 5-methylcytosine (5-mC). 5-mC is often associated with suppressed gene expression. 5-hmC, generated by the oxidation of 5-mC, is specifically enriched in expressed genes and plays a critical role in activating and/or maintaining gene expression. However, current epigenomic profiling platforms cannot distinguish 5-hmC from 5-mC. Just recently, our collaborator, Dr. Chuan He (HHMI Investigator), established a novel and state of the art technique, TAB-Seq and TAB-Array protocol, which can separate 5-hmC from 5-mC in the genome. Our pilot studies indicate that Mg intake or treatment significantly affects methylation capacity, 5-mC and 5-hmC biomarkers. Our findings suggest blood leukocyte 5-hmC/5-mC biomarkers may serve as more sensitive biomarkers to identify Mg deficiency than serum Mg. Thus, a comprehensive epigenome-wide association study (EWAS) may help to identify the most sensitive 5-hmC/ 5- mC biomarkers for Mg deficiency. We propose to identify 5-hmC/5-mC biomarkers for Mg deficiency by a 4- phase EWAS study in the 'Personalized Prevention of Colorectal Cancer Trial [PPCCT, R01CA149633; PI, Dai and Yu]' with a total of 240 participants. Mg tolerance test will be used as the gold standard. Finally, using newly identified biomarkers, we will evaluate if 12-week Mg treatment reduces TRPM7 expression, essential in Mg homeostasis and colorectal carcinogenesis, in rectal tissues only among those with Mg deficiency.</p>	phs002037	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002037	Qi Dai, MD PhD	Natalie Abrams	Division of Cancer Prevention (DCP)	30541089;29607802;28501704;29263344;32280092	R01CA202936	2/10/2021	NRUP;GRU	Array_DNA_Methylation	Randomized;Clinical Trial	Magnesium Deficiency	240.0	476.0			DNA Methylation	DNA Methylation;Deficiencies, Magnesium;Deficiency, Magnesium;Magnesium Deficiencies
dataset	2d1ba009-589f-4fb1-8176-e8008adb0f37	dbGaP	Tumor Fraction Guided Cell-Free DNA Profiling in Metastatic Cancer Patients	<p>Cell-free DNA (cfDNA) profiling is increasingly used to guide cancer care, yet mutations are not always identified. The ability to detect somatic mutations in plasma depends on both assay sensitivity and the fraction of circulating DNA in plasma that is tumor-derived (i.e cfDNA tumor fraction). We hypothesized that cfDNA tumor fraction could inform the interpretation of negative cfDNA results and guide the choice of subsequent assays of greater genomic breadth or depth. Plasma samples collected from 118 metastatic cancer patients were analyzed with cf-IMPACT, a modified version of the FDA-authorized MSK-IMPACT tumor test that can detect genomic alterations in 410 cancer-associated genes. Shallow whole genome sequencing (sWGS) was also performed in the same samples to estimate cfDNA tumor fraction based on genome-wide copy number alterations using z-score statistics. The results show that cfDNA tumor fraction can inform the interpretation of negative cfDNA results and guide the selection of subsequent sequencing platforms that are most likely to identify clinically-relevant  genomic alterations.</p><p><br></p>	phs002290	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002290	David B. Solit	Tamara Walton	Division of Cancer Treatment and Diagnosis (DCTD)			2/5/2021	DS-CA	WXS;WGS	Sequencing;Whole Genome Sequencing	Cell-Free Nucleic Acids	118.0	131.0	https://cbioportal.org/study/summary?id=mixed_cfdna_msk_2020		DNA Mutational Analysis	Not Provided
dataset	5e62aebf-2fa4-4b28-a8ee-24dbf674e80b	dbGaP	Role of Tobacco Smoke in Clear Cell Renal Cell Carcinoma	<b>Background</b>. Clear cell renal cell carcinoma (ccRCC) is the most common histologically defined renal cancer. However, it is not a uniform disease and includes several genetic subtypes with different prognoses. ccRCC is also characterized by distinguished metabolic reprogramming. Tobacco smoking (TS) is an established risk factor for ccRCC with unknown effects on tumor pathobiology.<br><br><b>Methods</b>. We investigated the landscape of ccRCCs and paired normal kidney tissues (NKTs) using integrated transcriptomic, metabolomic and metallomic approaches in a cohort of never smokers (NS) and long-term current smokers (LTS) Caucasian males. <br><br><b>Results</b>. All three Omics domains consistently identified a distinct metabolic subtype of ccRCCs in LTS, characterized by activation of oxidative phosphorylation (OxPhos) coupled with reprogramming of the malate-aspartate shuttle and metabolism of aspartate, glutamate, glutamine and histidine. Cadmium, copper and inorganic arsenic accumulated in LTS tumors showing redistribution among intracellular pools, including relocation of copper into the cytochrome c oxidase complex. Gene expression signature based on the LTS metabolic subtype provided prognostic stratification of The Cancer Genome Atlas (TCGA) ccRCC tumors that was independent from genomic alterations.<br><br><b>Conclusions</b>. The work identified the TS related metabolic subtype of ccRCC with vulnerabilities that can be exploited for precision medicine approaches targeting metabolic pathways. The results provided rationale for the development of metabolic biomarkers with diagnostic and prognostic applications using evaluation of OxPhos status. The metallomic analysis revealed the role of disrupted metal homeostasis in ccRCC highlighting the importance of studying effects of metals from e-cigarettes and environmental exposures.<br><br>	phs002083	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002083	Maria Czyzyk-Krzeska	Ian Fingerman	Division of Cancer Biology (DCB)	32970633		2/5/2021	GRU	RNA-Seq	Cohort	Carcinoma, Renal Cell	32.0	50.0		ATP5MC1 (ATP5G1);ATP5MC3 (ATP5G3);ATP5PF (ATP5J);ATP5PO (ATP5O);MRPL49;ECI1;ETFB;MDH1;NDUFA7;SDHC;UQCRC1;MICU1;ATP5PD (ATP5H);MPC2;NDUFA13;MPC1;OGDHL;COQ9	Normal Kidney Tissue;Tobacco Smoking	ADENOCARCINOMA OF KIDNEY;Adenocarcinoma Of Kidneys;Adenocarcinoma of the Kidney;Adenocarcinoma, Renal;Adenocarcinoma, Renal Cell;Adenocarcinomas, Renal Cell
dataset	382ea5e1-3ec5-4190-833d-2b26e144d9ea	dbGaP	Molecular Genetics of Histiocytic Sarcoma	<p>This is a comprehensive genomic analysis of a rare set of histiocytic sarcomas from the consult service of the Hematopathology section of the Laboratory of Pathology, NCI, NIH. The study identifies two distinct groupings of these tumors based on the site of disease, their mutational spectrum, and proliferation signature.</p>	phs001748	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001748	Elaine S. Jaffe, MD	Kathleen Calzone	Center for Cancer Research (CCR)			2/5/2021	GRU	RNA-Seq;Seq_DNA_SNP_MAF_Ind;Seq_RNA_Expression;WXS	Case Set	Histiocytic Sarcoma	25.0	54.0				Histiocytic Lymphoma, True;Histiocytic Lymphomas, True;Histiocytic Sarcomas;Histiocytoses, True Malignant;Histiocytosis, True Malignant;Lymphoma, True Histiocytic
dataset	99c78df7-f359-4f66-bb41-03dbad71b786	dbGaP	Genetics of Mammographic Density in Ashkenazi Jews	<p>Mammographic density (MD) is a strong risk factor for breast cancer and is also a highly heritable trait with &#126;60-70% of the variance due to genetic factors, based on twin studies. MD is also higher in families with a strong history of breast cancer. Genome-wide association studies (GWAS), which focus on common genetic variants, have identified several single nucleotide polymorphisms (SNPs) associated with MD. However, these SNPs explain a very small fraction of the variance of MD, suggesting many other genes are involved. Thus, the vast majority of the heritability of mammographic density remains unexplained and may be explained, at least in part, by rare variants.</p> <p>Ashkenazi Jewish women are a founder population; founder populations frequently have alleles affecting phenotypes which may be unique and/or extremely rare in other populations. Prior reports have identified an association between higher mammographic density and Ashkenazi Jewish ancestry. Therefore, we developed a study of mammographic density in AJ women. We combined datasets from several different cohorts including (a) the California Pacific Medical Center Research Institute (b) the Athena Breast Health Cohort and (c) the Marin Women&#39;s study. In each study, we identified women who reported AJ ancestry (determined by self-report or by genetic analysis). We identified mammograms by linking the women to the San Francisco Mammography Registry. We retrieved digital mammographic results and used software to infer volumetric density and percent volumetric density for each woman. We then performed genome-wide genotyping of the samples using the Illumina MEGA array.</p>	phs001857	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001857	Elad Ziv	Emilie Charlisse Caga-Anan	Division of Cancer Control and Population Sciences (DCCPS)	23668689;23887672;24461459	R21CA179442	2/3/2021	DS-MDBRCA-MDS;NRUP	Array_SNP	Cross-Sectional	Breast Density	2028.0	677.0				Mammographic Breast Density;Breast Densities, Mammographic;Breast Density, Mammographic;Density, Mammographic;Mammographic Breast Densities;Mammographic Densities
dataset	d95184f9-af1b-4475-931c-874ee73923c7	dbGaP	Polygenic Risk Score for the Prediction of Breast Cancer Is Related to Lesser Terminal Duct Lobular Unit Involution of the Breast	<p>The Susan G. Komen Tissue Bank (KTB) at the Indiana University Simon Cancer Center is an annotated biobank, which has recruited healthy women who provided demographic, lifestyle, and cancer-related information via self-administered questionnaire, blood samples and normal breast tissues. H&amp;E slides of the normal breast tissues were scanned for image analysis and a pathologist measured the number of terminal duct lobular units (TDLUs) ('TDLU count'). The acini count per TDLU was quantified using the TDLU analyzer software. In this analysis, we computed the recently developed polygenic risk score (PRS) based on 313 common variants for the prediction of breast cancer and related this PRS to TDLU count and acini count per TDLU. We did this for the overall PRS, the ER-positive PRS and the ER-negative PRS.</p>	phs002062	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002062	Gretchen Gierach, PhD	Geoffrey Tobias	Division of Cancer Epidemiology and Genetics (DCEG)	32964115		1/28/2021	DS-BRCA		Control Set;Cross-Sectional	Breast Neoplasms	1089.0	1089.0	https://virtualtissuebank.iu.edu/			Breast Cancer;Breast Malignant Neoplasm;Breast Malignant Neoplasms;Breast Malignant Tumor;Breast Malignant Tumors;CA - Breast cancer
